year,month,radiationtype,radiation
2008,1,ghi,173684
2008,2,ghi,145667
2008,3,ghi,135757
2008,4,ghi,147978
2008,5,ghi,139230
2008,6,ghi,118838
2008,7,ghi,117120
2008,8,ghi,154931
2008,9,ghi,169270
2008,10,ghi,212691
2008,11,ghi,194371
2008,12,ghi,212615
2009,1,ghi,127966
2009,2,ghi,117252
2009,3,ghi,186338
2009,4,ghi,155009
2009,5,ghi,122053
2009,6,ghi,133659
2009,7,ghi,146771
2009,8,ghi,166136
2009,9,ghi,183039
2009,10,ghi,216370
2009,11,ghi,119478
2009,12,ghi,224366
2010,1,ghi,149684
2010,2,ghi,156411
2010,3,ghi,158584
2010,4,ghi,129679
2010,5,ghi,142146
2010,6,ghi,128712
2010,7,ghi,117338
2010,8,ghi,134324
2010,9,ghi,151319
2010,10,ghi,183684
2010,11,ghi,141077
2010,12,ghi,166700
2011,1,ghi,191221
2011,2,ghi,155927
2011,3,ghi,138202
2011,4,ghi,148252
2011,5,ghi,146533
2011,6,ghi,126981
2011,7,ghi,144700
2011,8,ghi,154005
2011,9,ghi,188606
2011,10,ghi,193089
2011,11,ghi,215707
2011,12,ghi,195529
2012,1,ghi,200243
2012,2,ghi,169798
2012,3,ghi,141079
2012,4,ghi,156206
2012,5,ghi,121568
2012,6,ghi,112714
2012,7,ghi,117858
2012,8,ghi,154535
2012,9,ghi,179307
2012,10,ghi,214498
2012,11,ghi,224924
2012,12,ghi,230349
2013,1,ghi,205997
2013,2,ghi,177071
2013,3,ghi,173423
2013,4,ghi,144410
2013,5,ghi,120130
2013,6,ghi,125565
2013,7,ghi,123876
2013,8,ghi,172132
2013,9,ghi,191307
2013,10,ghi,211444
2013,11,ghi,180462
2013,12,ghi,243072
2014,1,ghi,201433
2014,2,ghi,154471
2014,3,ghi,160163
2014,4,ghi,147790
2014,5,ghi,139938
2014,6,ghi,111213
2014,7,ghi,143400
2014,8,ghi,162289
2014,9,ghi,185598
2014,10,ghi,225081
2014,11,ghi,220970
2014,12,ghi,228910
2015,1,ghi,195004
2015,2,ghi,180298
2015,3,ghi,188985
2015,4,ghi,157984
2015,5,ghi,121464
2015,6,ghi,106379
2015,7,ghi,133145
2015,8,ghi,165513
2015,9,ghi,186820
2015,10,ghi,208450
2015,11,ghi,210660
2015,12,ghi,212077
2016,1,ghi,197650
2016,2,ghi,176098
2016,3,ghi,145007
2016,4,ghi,151797
2016,5,ghi,133272
2016,6,ghi,119272
2016,7,ghi,129452
2016,8,ghi,148073
2016,9,ghi,168470
2016,10,ghi,221103
2016,11,ghi,243209
2016,12,ghi,238071
2017,1,ghi,211220
2017,2,ghi,203251
2017,3,ghi,187892
2017,4,ghi,167386
2017,5,ghi,137835
2017,6,ghi,126812
2017,7,ghi,139968
2017,8,ghi,172328
2017,9,ghi,196899
2017,10,ghi,205370
2017,11,ghi,223345
2017,12,ghi,257537
2018,1,ghi,213120
2018,2,ghi,178790
2018,3,ghi,172965
2018,4,ghi,164785
2018,5,ghi,144537
2018,6,ghi,129230
2018,7,ghi,145602
2018,8,ghi,0
