year,month,radiationtype,radiation
2008,1,ghi,164476
2008,2,ghi,131322
2008,3,ghi,162961
2008,4,ghi,153938
2008,5,ghi,159804
2008,6,ghi,127215
2008,7,ghi,133499
2008,8,ghi,160470
2008,9,ghi,179804
2008,10,ghi,209541
2008,11,ghi,196850
2008,12,ghi,181588
2009,1,ghi,141619
2009,2,ghi,126185
2009,3,ghi,197787
2009,4,ghi,164755
2009,5,ghi,137248
2009,6,ghi,142646
2009,7,ghi,155873
2009,8,ghi,176460
2009,9,ghi,187132
2009,10,ghi,209819
2009,11,ghi,121972
2009,12,ghi,203435
2010,1,ghi,135227
2010,2,ghi,170392
2010,3,ghi,177917
2010,4,ghi,136261
2010,5,ghi,157201
2010,6,ghi,141895
2010,7,ghi,123543
2010,8,ghi,158437
2010,9,ghi,177096
2010,10,ghi,184614
2010,11,ghi,170773
2010,12,ghi,190437
2011,1,ghi,191096
2011,2,ghi,162954
2011,3,ghi,170110
2011,4,ghi,163225
2011,5,ghi,162871
2011,6,ghi,151391
2011,7,ghi,159517
2011,8,ghi,167549
2011,9,ghi,196397
2011,10,ghi,210477
2011,11,ghi,200163
2011,12,ghi,163958
2012,1,ghi,208675
2012,2,ghi,173443
2012,3,ghi,142196
2012,4,ghi,164611
2012,5,ghi,141388
2012,6,ghi,144829
2012,7,ghi,139959
2012,8,ghi,166970
2012,9,ghi,185177
2012,10,ghi,206052
2012,11,ghi,221413
2012,12,ghi,224417
2013,1,ghi,172372
2013,2,ghi,190811
2013,3,ghi,167726
2013,4,ghi,167083
2013,5,ghi,143021
2013,6,ghi,137868
2013,7,ghi,137697
2013,8,ghi,180544
2013,9,ghi,195002
2013,10,ghi,222903
2013,11,ghi,175215
2013,12,ghi,229762
2014,1,ghi,182581
2014,2,ghi,142533
2014,3,ghi,169050
2014,4,ghi,160639
2014,5,ghi,151806
2014,6,ghi,120296
2014,7,ghi,154063
2014,8,ghi,166210
2014,9,ghi,199876
2014,10,ghi,229434
2014,11,ghi,215983
2014,12,ghi,194451
2015,1,ghi,182870
2015,2,ghi,166459
2015,3,ghi,171112
2015,4,ghi,170660
2015,5,ghi,135710
2015,6,ghi,124477
2015,7,ghi,150532
2015,8,ghi,173854
2015,9,ghi,175099
2015,10,ghi,204830
2015,11,ghi,202083
2015,12,ghi,164574
2016,1,ghi,193659
2016,2,ghi,175299
2016,3,ghi,160907
2016,4,ghi,160428
2016,5,ghi,137384
2016,6,ghi,125928
2016,7,ghi,138996
2016,8,ghi,157779
2016,9,ghi,176877
2016,10,ghi,219491
2016,11,ghi,226992
2016,12,ghi,211531
2017,1,ghi,207590
2017,2,ghi,166581
2017,3,ghi,206821
2017,4,ghi,181280
2017,5,ghi,155753
2017,6,ghi,131517
2017,7,ghi,146642
2017,8,ghi,179172
2017,9,ghi,199911
2017,10,ghi,219785
2017,11,ghi,219472
2017,12,ghi,252833
2018,1,ghi,202012
2018,2,ghi,199262
2018,3,ghi,174747
2018,4,ghi,188262
2018,5,ghi,158064
2018,6,ghi,138315
2018,7,ghi,153568
2018,8,ghi,0
