year,month,radiationtype,radiation
2008,1,ghi,145576
2008,2,ghi,115169
2008,3,ghi,167320
2008,4,ghi,157023
2008,5,ghi,170655
2008,6,ghi,141263
2008,7,ghi,140011
2008,8,ghi,170925
2008,9,ghi,191101
2008,10,ghi,222938
2008,11,ghi,199697
2008,12,ghi,179912
2009,1,ghi,131012
2009,2,ghi,124555
2009,3,ghi,195371
2009,4,ghi,170619
2009,5,ghi,147706
2009,6,ghi,152674
2009,7,ghi,162017
2009,8,ghi,182967
2009,9,ghi,192301
2009,10,ghi,215401
2009,11,ghi,125440
2009,12,ghi,201680
2010,1,ghi,138116
2010,2,ghi,159872
2010,3,ghi,180871
2010,4,ghi,157764
2010,5,ghi,165594
2010,6,ghi,148627
2010,7,ghi,151405
2010,8,ghi,174929
2010,9,ghi,183499
2010,10,ghi,200736
2010,11,ghi,185419
2010,12,ghi,179107
2011,1,ghi,164102
2011,2,ghi,151787
2011,3,ghi,142676
2011,4,ghi,170711
2011,5,ghi,175358
2011,6,ghi,158296
2011,7,ghi,163599
2011,8,ghi,179257
2011,9,ghi,203878
2011,10,ghi,222496
2011,11,ghi,208460
2011,12,ghi,171137
2012,1,ghi,185150
2012,2,ghi,176803
2012,3,ghi,141384
2012,4,ghi,174888
2012,5,ghi,152725
2012,6,ghi,149907
2012,7,ghi,151142
2012,8,ghi,176159
2012,9,ghi,195941
2012,10,ghi,220821
2012,11,ghi,231136
2012,12,ghi,214849
2013,1,ghi,170349
2013,2,ghi,189718
2013,3,ghi,173164
2013,4,ghi,171401
2013,5,ghi,161083
2013,6,ghi,147642
2013,7,ghi,158082
2013,8,ghi,187015
2013,9,ghi,203661
2013,10,ghi,224067
2013,11,ghi,173869
2013,12,ghi,222488
2014,1,ghi,192486
2014,2,ghi,126601
2014,3,ghi,180459
2014,4,ghi,170190
2014,5,ghi,165775
2014,6,ghi,135163
2014,7,ghi,164057
2014,8,ghi,178851
2014,9,ghi,203806
2014,10,ghi,236982
2014,11,ghi,220893
2014,12,ghi,185251
2015,1,ghi,175789
2015,2,ghi,187925
2015,3,ghi,180440
2015,4,ghi,174706
2015,5,ghi,142106
2015,6,ghi,140976
2015,7,ghi,159881
2015,8,ghi,179918
2015,9,ghi,189349
2015,10,ghi,226038
2015,11,ghi,204873
2015,12,ghi,159316
2016,1,ghi,193807
2016,2,ghi,157152
2016,3,ghi,149361
2016,4,ghi,185390
2016,5,ghi,152985
2016,6,ghi,140520
2016,7,ghi,150607
2016,8,ghi,173057
2016,9,ghi,191488
2016,10,ghi,231422
2016,11,ghi,226426
2016,12,ghi,222703
2017,1,ghi,192474
2017,2,ghi,166221
2017,3,ghi,197324
2017,4,ghi,196047
2017,5,ghi,168801
2017,6,ghi,144602
2017,7,ghi,164442
2017,8,ghi,187910
2017,9,ghi,204893
2017,10,ghi,227796
2017,11,ghi,231234
2017,12,ghi,237095
2018,1,ghi,180787
2018,2,ghi,183904
2018,3,ghi,183721
2018,4,ghi,195117
2018,5,ghi,169686
2018,6,ghi,150862
2018,7,ghi,163653
2018,8,ghi,0
