year,month,radiationtype,radiation
2008,1,ghi,227938
2008,2,ghi,174388
2008,3,ghi,146545
2008,4,ghi,139233
2008,5,ghi,159429
2008,6,ghi,117717
2008,7,ghi,145479
2008,8,ghi,165279
2008,9,ghi,191214
2008,10,ghi,208155
2008,11,ghi,235798
2008,12,ghi,227752
2009,1,ghi,229895
2009,2,ghi,156988
2009,3,ghi,198459
2009,4,ghi,161128
2009,5,ghi,137860
2009,6,ghi,120787
2009,7,ghi,141094
2009,8,ghi,173334
2009,9,ghi,197802
2009,10,ghi,227316
2009,11,ghi,126312
2009,12,ghi,239664
2010,1,ghi,221602
2010,2,ghi,212608
2010,3,ghi,202684
2010,4,ghi,164875
2010,5,ghi,153284
2010,6,ghi,128543
2010,7,ghi,127736
2010,8,ghi,164712
2010,9,ghi,183987
2010,10,ghi,224905
2010,11,ghi,233955
2010,12,ghi,236463
2011,1,ghi,201522
2011,2,ghi,149455
2011,3,ghi,178593
2011,4,ghi,161311
2011,5,ghi,127072
2011,6,ghi,133357
2011,7,ghi,130979
2011,8,ghi,176383
2011,9,ghi,206134
2011,10,ghi,229298
2011,11,ghi,235477
2011,12,ghi,256349
2012,1,ghi,180342
2012,2,ghi,208765
2012,3,ghi,160835
2012,4,ghi,172652
2012,5,ghi,153423
2012,6,ghi,124641
2012,7,ghi,139905
2012,8,ghi,169743
2012,9,ghi,191376
2012,10,ghi,228492
2012,11,ghi,236959
2012,12,ghi,200337
2013,1,ghi,210003
2013,2,ghi,183469
2013,3,ghi,207999
2013,4,ghi,173216
2013,5,ghi,130804
2013,6,ghi,96656
2013,7,ghi,150001
2013,8,ghi,175925
2013,9,ghi,204632
2013,10,ghi,222659
2013,11,ghi,233436
2013,12,ghi,227739
2014,1,ghi,224010
2014,2,ghi,207876
2014,3,ghi,207731
2014,4,ghi,174649
2014,5,ghi,139213
2014,6,ghi,133408
2014,7,ghi,144182
2014,8,ghi,180498
2014,9,ghi,203309
2014,10,ghi,228892
2014,11,ghi,218368
2014,12,ghi,253439
2015,1,ghi,232681
2015,2,ghi,194699
2015,3,ghi,179552
2015,4,ghi,135618
2015,5,ghi,107111
2015,6,ghi,135928
2015,7,ghi,131598
2015,8,ghi,166692
2015,9,ghi,200343
2015,10,ghi,223651
2015,11,ghi,226481
2015,12,ghi,242097
2016,1,ghi,197227
2016,2,ghi,199549
2016,3,ghi,178782
2016,4,ghi,170777
2016,5,ghi,134718
2016,6,ghi,111531
2016,7,ghi,132609
2016,8,ghi,159044
2016,9,ghi,188053
2016,10,ghi,218474
2016,11,ghi,245185
2016,12,ghi,237550
2017,1,ghi,213003
2017,2,ghi,200323
2017,3,ghi,194016
2017,4,ghi,172510
2017,5,ghi,157237
2017,6,ghi,132463
2017,7,ghi,145518
2017,8,ghi,175597
2017,9,ghi,201796
2017,10,ghi,237106
2017,11,ghi,250533
2017,12,ghi,246529
2018,1,ghi,222156
2018,2,ghi,211177
2018,3,ghi,213395
2018,4,ghi,179341
2018,5,ghi,154156
2018,6,ghi,127229
2018,7,ghi,150008
2018,8,ghi,0
