ts,radiation
2008-01-31,197933
2008-02-29,132311
2008-03-31,162013
2008-04-30,165644
2008-05-31,175870
2008-06-30,142999
2008-07-31,164593
2008-08-31,179244
2008-09-30,193468
2008-10-31,208171
2008-11-30,183524
2008-12-31,172707
2009-01-31,168218
2009-02-28,135484
2009-03-31,199410
2009-04-30,180403
2009-05-31,159005
2009-06-30,151156
2009-07-31,161372
2009-08-31,182263
2009-09-30,182703
2009-10-31,222043
2009-11-30,117662
2009-12-31,189101
2010-01-31,185604
2010-02-28,180723
2010-03-31,210415
2010-04-30,170254
2010-05-31,132452
2010-06-30,150841
2010-07-31,142375
2010-08-31,172687
2010-09-30,173385
2010-10-31,194792
2010-11-30,220869
2010-12-31,193846
2011-01-31,173161
2011-02-28,138147
2011-03-31,145767
2011-04-30,164439
2011-05-31,173519
2011-06-30,159128
2011-07-31,160545
2011-08-31,187907
2011-09-30,204343
2011-10-31,205580
2011-11-30,204996
2011-12-31,219372
2012-01-31,179417
2012-02-29,199802
2012-03-31,159390
2012-04-30,182968
2012-05-31,169527
2012-06-30,148689
2012-07-31,155956
2012-08-31,178874
2012-09-30,195176
2012-10-31,214885
2012-11-30,210913
2012-12-31,203597
2013-01-31,206333
2013-02-28,167308
2013-03-31,185399
2013-04-30,174116
2013-05-31,149209
2013-06-30,138441
2013-07-31,167296
2013-08-31,191264
2013-09-30,198743
2013-10-31,206752
2013-11-30,187227
2013-12-31,175379
2014-01-31,194123
2014-02-28,166958
2014-03-31,197865
2014-04-30,174350
2014-05-31,161621
2014-06-30,154782
2014-07-31,157077
2014-08-31,190674
2014-09-30,203005
2014-10-31,215536
2014-11-30,171287
2014-12-31,206133
2015-01-31,176749
2015-02-28,191622
2015-03-31,189484
2015-04-30,177647
2015-05-31,148689
2015-06-30,154683
2015-07-31,160719
2015-08-31,178840
2015-09-30,200796
2015-10-31,192454
2015-11-30,211143
2015-12-31,187022
2016-01-31,180130
2016-02-29,170126
2016-03-31,164261
2016-04-30,175739
2016-05-31,142419
2016-06-30,146427
2016-07-31,152190
2016-08-31,161175
2016-09-30,186739
2016-10-31,216212
2016-11-30,215021
2016-12-31,180245
2017-01-31,176271
2017-02-28,192253
2017-03-31,202798
2017-04-30,177932
2017-05-31,170983
2017-06-30,154929
2017-07-31,163469
2017-08-31,190627
2017-09-30,209290
2017-10-31,228437
2017-11-30,210383
2017-12-31,220130
2018-01-31,190943
2018-02-28,180348
2018-03-31,213475
2018-04-30,192121
2018-05-31,174323
2018-06-30,156234
2018-07-31,166067
