ts,radiation
2008-01-31,174146
2008-02-29,146725
2008-03-31,127852
2008-04-30,140824
2008-05-31,138312
2008-06-30,115036
2008-07-31,114104
2008-08-31,150458
2008-09-30,176582
2008-10-31,195496
2008-11-30,202782
2008-12-31,220575
2009-01-31,145097
2009-02-28,104521
2009-03-31,177672
2009-04-30,142115
2009-05-31,124157
2009-06-30,131032
2009-07-31,142523
2009-08-31,166487
2009-09-30,175764
2009-10-31,213204
2009-11-30,116058
2009-12-31,227639
2010-01-31,159495
2010-02-28,145708
2010-03-31,160539
2010-04-30,139523
2010-05-31,139336
2010-06-30,122362
2010-07-31,124895
2010-08-31,136232
2010-09-30,140439
2010-10-31,181796
2010-11-30,119812
2010-12-31,139817
2011-01-31,215852
2011-02-28,179291
2011-03-31,129605
2011-04-30,150849
2011-05-31,142885
2011-06-30,121886
2011-07-31,141932
2011-08-31,141528
2011-09-30,192184
2011-10-31,193377
2011-11-30,211552
2011-12-31,187648
2012-01-31,199005
2012-02-29,183170
2012-03-31,144242
2012-04-30,161020
2012-05-31,129648
2012-06-30,111418
2012-07-31,110334
2012-08-31,158104
2012-09-30,180929
2012-10-31,205164
2012-11-30,224627
2012-12-31,232290
2013-01-31,217949
2013-02-28,160007
2013-03-31,167592
2013-04-30,139044
2013-05-31,129306
2013-06-30,124096
2013-07-31,126130
2013-08-31,168808
2013-09-30,192264
2013-10-31,218967
2013-11-30,181079
2013-12-31,233444
2014-01-31,204319
2014-02-28,161161
2014-03-31,158147
2014-04-30,148932
2014-05-31,141051
2014-06-30,110060
2014-07-31,141693
2014-08-31,160184
2014-09-30,180663
2014-10-31,222249
2014-11-30,225633
2014-12-31,230258
2015-01-31,194798
2015-02-28,178928
2015-03-31,185471
2015-04-30,160728
2015-05-31,120623
2015-06-30,112312
2015-07-31,129484
2015-08-31,162513
2015-09-30,186491
2015-10-31,208581
2015-11-30,203288
2015-12-31,218659
2016-01-31,201776
2016-02-29,169026
2016-03-31,148685
2016-04-30,144285
2016-05-31,136388
2016-06-30,114784
2016-07-31,124157
2016-08-31,142550
2016-09-30,160951
2016-10-31,217539
2016-11-30,227487
2016-12-31,228954
2017-01-31,209430
2017-02-28,205865
2017-03-31,165465
2017-04-30,165213
2017-05-31,130281
2017-06-30,119838
2017-07-31,141940
2017-08-31,167304
2017-09-30,193836
2017-10-31,203997
2017-11-30,219277
2017-12-31,253250
2018-01-31,222355
2018-02-28,191704
2018-03-31,183201
2018-04-30,150404
2018-05-31,146421
2018-06-30,127637
2018-07-31,140715
