ts,radiation
2008-01-31,173684
2008-02-29,145667
2008-03-31,135757
2008-04-30,147978
2008-05-31,139230
2008-06-30,118838
2008-07-31,117120
2008-08-31,154931
2008-09-30,169270
2008-10-31,212691
2008-11-30,194371
2008-12-31,212615
2009-01-31,127966
2009-02-28,117252
2009-03-31,186338
2009-04-30,155009
2009-05-31,122053
2009-06-30,133659
2009-07-31,146771
2009-08-31,166136
2009-09-30,183039
2009-10-31,216370
2009-11-30,119478
2009-12-31,224366
2010-01-31,149684
2010-02-28,156411
2010-03-31,158584
2010-04-30,129679
2010-05-31,142146
2010-06-30,128712
2010-07-31,117338
2010-08-31,134324
2010-09-30,151319
2010-10-31,183684
2010-11-30,141077
2010-12-31,166700
2011-01-31,191221
2011-02-28,155927
2011-03-31,138202
2011-04-30,148252
2011-05-31,146533
2011-06-30,126981
2011-07-31,144700
2011-08-31,154005
2011-09-30,188606
2011-10-31,193089
2011-11-30,215707
2011-12-31,195529
2012-01-31,200243
2012-02-29,169798
2012-03-31,141079
2012-04-30,156206
2012-05-31,121568
2012-06-30,112714
2012-07-31,117858
2012-08-31,154535
2012-09-30,179307
2012-10-31,214498
2012-11-30,224924
2012-12-31,230349
2013-01-31,205997
2013-02-28,177071
2013-03-31,173423
2013-04-30,144410
2013-05-31,120130
2013-06-30,125565
2013-07-31,123876
2013-08-31,172132
2013-09-30,191307
2013-10-31,211444
2013-11-30,180462
2013-12-31,243072
2014-01-31,201433
2014-02-28,154471
2014-03-31,160163
2014-04-30,147790
2014-05-31,139938
2014-06-30,111213
2014-07-31,143400
2014-08-31,162289
2014-09-30,185598
2014-10-31,225081
2014-11-30,220970
2014-12-31,228910
2015-01-31,195004
2015-02-28,180298
2015-03-31,188985
2015-04-30,157984
2015-05-31,121464
2015-06-30,106379
2015-07-31,133145
2015-08-31,165513
2015-09-30,186820
2015-10-31,208450
2015-11-30,210660
2015-12-31,212077
2016-01-31,197650
2016-02-29,176098
2016-03-31,145007
2016-04-30,151797
2016-05-31,133272
2016-06-30,119272
2016-07-31,129452
2016-08-31,148073
2016-09-30,168470
2016-10-31,221103
2016-11-30,243209
2016-12-31,238071
2017-01-31,211220
2017-02-28,203251
2017-03-31,187892
2017-04-30,167386
2017-05-31,137835
2017-06-30,126812
2017-07-31,139968
2017-08-31,172328
2017-09-30,196899
2017-10-31,205370
2017-11-30,223345
2017-12-31,257537
2018-01-31,213120
2018-02-28,178790
2018-03-31,172965
2018-04-30,164785
2018-05-31,144537
2018-06-30,129230
2018-07-31,145602
