ts,radiation
2008-01-31,145576
2008-02-29,115169
2008-03-31,167320
2008-04-30,157023
2008-05-31,170655
2008-06-30,141263
2008-07-31,140011
2008-08-31,170925
2008-09-30,191101
2008-10-31,222938
2008-11-30,199697
2008-12-31,179912
2009-01-31,131012
2009-02-28,124555
2009-03-31,195371
2009-04-30,170619
2009-05-31,147706
2009-06-30,152674
2009-07-31,162017
2009-08-31,182967
2009-09-30,192301
2009-10-31,215401
2009-11-30,125440
2009-12-31,201680
2010-01-31,138116
2010-02-28,159872
2010-03-31,180871
2010-04-30,157764
2010-05-31,165594
2010-06-30,148627
2010-07-31,151405
2010-08-31,174929
2010-09-30,183499
2010-10-31,200736
2010-11-30,185419
2010-12-31,179107
2011-01-31,164102
2011-02-28,151787
2011-03-31,142676
2011-04-30,170711
2011-05-31,175358
2011-06-30,158296
2011-07-31,163599
2011-08-31,179257
2011-09-30,203878
2011-10-31,222496
2011-11-30,208460
2011-12-31,171137
2012-01-31,185150
2012-02-29,176803
2012-03-31,141384
2012-04-30,174888
2012-05-31,152725
2012-06-30,149907
2012-07-31,151142
2012-08-31,176159
2012-09-30,195941
2012-10-31,220821
2012-11-30,231136
2012-12-31,214849
2013-01-31,170349
2013-02-28,189718
2013-03-31,173164
2013-04-30,171401
2013-05-31,161083
2013-06-30,147642
2013-07-31,158082
2013-08-31,187015
2013-09-30,203661
2013-10-31,224067
2013-11-30,173869
2013-12-31,222488
2014-01-31,192486
2014-02-28,126601
2014-03-31,180459
2014-04-30,170190
2014-05-31,165775
2014-06-30,135163
2014-07-31,164057
2014-08-31,178851
2014-09-30,203806
2014-10-31,236982
2014-11-30,220893
2014-12-31,185251
2015-01-31,175789
2015-02-28,187925
2015-03-31,180440
2015-04-30,174706
2015-05-31,142106
2015-06-30,140976
2015-07-31,159881
2015-08-31,179918
2015-09-30,189349
2015-10-31,226038
2015-11-30,204873
2015-12-31,159316
2016-01-31,193807
2016-02-29,157152
2016-03-31,149361
2016-04-30,185390
2016-05-31,152985
2016-06-30,140520
2016-07-31,150607
2016-08-31,173057
2016-09-30,191488
2016-10-31,231422
2016-11-30,226426
2016-12-31,222703
2017-01-31,192474
2017-02-28,166221
2017-03-31,197324
2017-04-30,196047
2017-05-31,168801
2017-06-30,144602
2017-07-31,164442
2017-08-31,187910
2017-09-30,204893
2017-10-31,227796
2017-11-30,231234
2017-12-31,237095
2018-01-31,180787
2018-02-28,183904
2018-03-31,183721
2018-04-30,195117
2018-05-31,169686
2018-06-30,150862
2018-07-31,163653
