ts,radiation
2008-01-31,185098
2008-02-29,124766
2008-03-31,162439
2008-04-30,163447
2008-05-31,177397
2008-06-30,143955
2008-07-31,161984
2008-08-31,179874
2008-09-30,193239
2008-10-31,212594
2008-11-30,184605
2008-12-31,158606
2009-01-31,172275
2009-02-28,133391
2009-03-31,208232
2009-04-30,180963
2009-05-31,158895
2009-06-30,154989
2009-07-31,162962
2009-08-31,181770
2009-09-30,193188
2009-10-31,227200
2009-11-30,118327
2009-12-31,179863
2010-01-31,174515
2010-02-28,179449
2010-03-31,194413
2010-04-30,160378
2010-05-31,139388
2010-06-30,154534
2010-07-31,150882
2010-08-31,175720
2010-09-30,186045
2010-10-31,183793
2010-11-30,214145
2010-12-31,178237
2011-01-31,174952
2011-02-28,144823
2011-03-31,146134
2011-04-30,157672
2011-05-31,176565
2011-06-30,159671
2011-07-31,166165
2011-08-31,183940
2011-09-30,211033
2011-10-31,212494
2011-11-30,194229
2011-12-31,196421
2012-01-31,191174
2012-02-29,195254
2012-03-31,160488
2012-04-30,179578
2012-05-31,165992
2012-06-30,151521
2012-07-31,160154
2012-08-31,181722
2012-09-30,201997
2012-10-31,226443
2012-11-30,194038
2012-12-31,217348
2013-01-31,222375
2013-02-28,167936
2013-03-31,180955
2013-04-30,174706
2013-05-31,157567
2013-06-30,143481
2013-07-31,165831
2013-08-31,191140
2013-09-30,198916
2013-10-31,207001
2013-11-30,184146
2013-12-31,176432
2014-01-31,192911
2014-02-28,150287
2014-03-31,201822
2014-04-30,177553
2014-05-31,164005
2014-06-30,155763
2014-07-31,161918
2014-08-31,192917
2014-09-30,209334
2014-10-31,228193
2014-11-30,194948
2014-12-31,189425
2015-01-31,175535
2015-02-28,187430
2015-03-31,192937
2015-04-30,185036
2015-05-31,147208
2015-06-30,151416
2015-07-31,159612
2015-08-31,182553
2015-09-30,207732
2015-10-31,210622
2015-11-30,199221
2015-12-31,177418
2016-01-31,188048
2016-02-29,180322
2016-03-31,161712
2016-04-30,180241
2016-05-31,151647
2016-06-30,150436
2016-07-31,161300
2016-08-31,169364
2016-09-30,190251
2016-10-31,222903
2016-11-30,221479
2016-12-31,193449
2017-01-31,184638
2017-02-28,181956
2017-03-31,196513
2017-04-30,182667
2017-05-31,175838
2017-06-30,157356
2017-07-31,165595
2017-08-31,193396
2017-09-30,207396
2017-10-31,226650
2017-11-30,221904
2017-12-31,234599
2018-01-31,186339
2018-02-28,179571
2018-03-31,216758
2018-04-30,195155
2018-05-31,176041
2018-06-30,158870
2018-07-31,170381
