ts,radiation
2008-01-31,209669
2008-02-29,145958
2008-03-31,165297
2008-04-30,163995
2008-05-31,173730
2008-06-30,138355
2008-07-31,161868
2008-08-31,178395
2008-09-30,189982
2008-10-31,214284
2008-11-30,192857
2008-12-31,173447
2009-01-31,181547
2009-02-28,139277
2009-03-31,208648
2009-04-30,181417
2009-05-31,157442
2009-06-30,151690
2009-07-31,160967
2009-08-31,181498
2009-09-30,185712
2009-10-31,231077
2009-11-30,125470
2009-12-31,198381
2010-01-31,188688
2010-02-28,189216
2010-03-31,202339
2010-04-30,171095
2010-05-31,131642
2010-06-30,150873
2010-07-31,144423
2010-08-31,173409
2010-09-30,177954
2010-10-31,198330
2010-11-30,224072
2010-12-31,200238
2011-01-31,197509
2011-02-28,145087
2011-03-31,138670
2011-04-30,163290
2011-05-31,170958
2011-06-30,152345
2011-07-31,160387
2011-08-31,189878
2011-09-30,211382
2011-10-31,201018
2011-11-30,195197
2011-12-31,218414
2012-01-31,192454
2012-02-29,200819
2012-03-31,164245
2012-04-30,177867
2012-05-31,165596
2012-06-30,145961
2012-07-31,154543
2012-08-31,184298
2012-09-30,200156
2012-10-31,223165
2012-11-30,211267
2012-12-31,211770
2013-01-31,219676
2013-02-28,178036
2013-03-31,191175
2013-04-30,170692
2013-05-31,147887
2013-06-30,140248
2013-07-31,164483
2013-08-31,191150
2013-09-30,205831
2013-10-31,209853
2013-11-30,187186
2013-12-31,189884
2014-01-31,197559
2014-02-28,169801
2014-03-31,207483
2014-04-30,180292
2014-05-31,161404
2014-06-30,150391
2014-07-31,157566
2014-08-31,189683
2014-09-30,208138
2014-10-31,234928
2014-11-30,198293
2014-12-31,203644
2015-01-31,178276
2015-02-28,190270
2015-03-31,193076
2015-04-30,177165
2015-05-31,144730
2015-06-30,150083
2015-07-31,158521
2015-08-31,180401
2015-09-30,206265
2015-10-31,214735
2015-11-30,212482
2015-12-31,190080
2016-01-31,191400
2016-02-29,183135
2016-03-31,162134
2016-04-30,178143
2016-05-31,141084
2016-06-30,141429
2016-07-31,151612
2016-08-31,167655
2016-09-30,189748
2016-10-31,221030
2016-11-30,230158
2016-12-31,197605
2017-01-31,183661
2017-02-28,183495
2017-03-31,204155
2017-04-30,183152
2017-05-31,167013
2017-06-30,147640
2017-07-31,158015
2017-08-31,187320
2017-09-30,210872
2017-10-31,240566
2017-11-30,226972
2017-12-31,233530
2018-01-31,199304
2018-02-28,184725
2018-03-31,214242
2018-04-30,186740
2018-05-31,169119
2018-06-30,154803
2018-07-31,165196
