ts,radiation
2008-01-31,180399
2008-02-29,135540
2008-03-31,164124
2008-04-30,164726
2008-05-31,176684
2008-06-30,149575
2008-07-31,161171
2008-08-31,178256
2008-09-30,193741
2008-10-31,214954
2008-11-30,185315
2008-12-31,160627
2009-01-31,168929
2009-02-28,131707
2009-03-31,211699
2009-04-30,179819
2009-05-31,153816
2009-06-30,157926
2009-07-31,168892
2009-08-31,186613
2009-09-30,185275
2009-10-31,218483
2009-11-30,116225
2009-12-31,191330
2010-01-31,163324
2010-02-28,174325
2010-03-31,193448
2010-04-30,165761
2010-05-31,150345
2010-06-30,158923
2010-07-31,156421
2010-08-31,179382
2010-09-30,178091
2010-10-31,184424
2010-11-30,209754
2010-12-31,179559
2011-01-31,173359
2011-02-28,149134
2011-03-31,149191
2011-04-30,176878
2011-05-31,181791
2011-06-30,163366
2011-07-31,169863
2011-08-31,187017
2011-09-30,205782
2011-10-31,215636
2011-11-30,191355
2011-12-31,179381
2012-01-31,198662
2012-02-29,204534
2012-03-31,162644
2012-04-30,181008
2012-05-31,162409
2012-06-30,153302
2012-07-31,161036
2012-08-31,183995
2012-09-30,198834
2012-10-31,216284
2012-11-30,202066
2012-12-31,216319
2013-01-31,223049
2013-02-28,185509
2013-03-31,170909
2013-04-30,186390
2013-05-31,163404
2013-06-30,150404
2013-07-31,165171
2013-08-31,191667
2013-09-30,191063
2013-10-31,200260
2013-11-30,184760
2013-12-31,202631
2014-01-31,191198
2014-02-28,155891
2014-03-31,206324
2014-04-30,169412
2014-05-31,170594
2014-06-30,157182
2014-07-31,168995
2014-08-31,192504
2014-09-30,207007
2014-10-31,232932
2014-11-30,198684
2014-12-31,201981
2015-01-31,178524
2015-02-28,184137
2015-03-31,197230
2015-04-30,188960
2015-05-31,146258
2015-06-30,156834
2015-07-31,164314
2015-08-31,183332
2015-09-30,197416
2015-10-31,213114
2015-11-30,202087
2015-12-31,165160
2016-01-31,202519
2016-02-29,182903
2016-03-31,167392
2016-04-30,180717
2016-05-31,157563
2016-06-30,147967
2016-07-31,159483
2016-08-31,175154
2016-09-30,176527
2016-10-31,221616
2016-11-30,224571
2016-12-31,216121
2017-01-31,200032
2017-02-28,184545
2017-03-31,211639
2017-04-30,185379
2017-05-31,176154
2017-06-30,157087
2017-07-31,166649
2017-08-31,193197
2017-09-30,206749
2017-10-31,225621
2017-11-30,220881
2017-12-31,240041
2018-01-31,196638
2018-02-28,190132
2018-03-31,217299
2018-04-30,196744
2018-05-31,179663
2018-06-30,158832
2018-07-31,170100
