ts,radiation
2008-01-31,189359
2008-02-29,151652
2008-03-31,160434
2008-04-30,149040
2008-05-31,145594
2008-06-30,117210
2008-07-31,123645
2008-08-31,157184
2008-09-30,172345
2008-10-31,219786
2008-11-30,203022
2008-12-31,218654
2009-01-31,137777
2009-02-28,133582
2009-03-31,200271
2009-04-30,147033
2009-05-31,126816
2009-06-30,130921
2009-07-31,145489
2009-08-31,166120
2009-09-30,179751
2009-10-31,221307
2009-11-30,123474
2009-12-31,215497
2010-01-31,172917
2010-02-28,153427
2010-03-31,176238
2010-04-30,144500
2010-05-31,135038
2010-06-30,122356
2010-07-31,118860
2010-08-31,145764
2010-09-30,137913
2010-10-31,193608
2010-11-30,141916
2010-12-31,170133
2011-01-31,224325
2011-02-28,187464
2011-03-31,153441
2011-04-30,157514
2011-05-31,151678
2011-06-30,116272
2011-07-31,141977
2011-08-31,154836
2011-09-30,194103
2011-10-31,202488
2011-11-30,211549
2011-12-31,208781
2012-01-31,208274
2012-02-29,194960
2012-03-31,163705
2012-04-30,163614
2012-05-31,131783
2012-06-30,112886
2012-07-31,120320
2012-08-31,159947
2012-09-30,175133
2012-10-31,217520
2012-11-30,228242
2012-12-31,227907
2013-01-31,217773
2013-02-28,172961
2013-03-31,184080
2013-04-30,146547
2013-05-31,128572
2013-06-30,125172
2013-07-31,130252
2013-08-31,172925
2013-09-30,190154
2013-10-31,231572
2013-11-30,199587
2013-12-31,247026
2014-01-31,213319
2014-02-28,176140
2014-03-31,186068
2014-04-30,168778
2014-05-31,143104
2014-06-30,125002
2014-07-31,144827
2014-08-31,160069
2014-09-30,185717
2014-10-31,229541
2014-11-30,228869
2014-12-31,231454
2015-01-31,212594
2015-02-28,198900
2015-03-31,196057
2015-04-30,165439
2015-05-31,124774
2015-06-30,115915
2015-07-31,138838
2015-08-31,163311
2015-09-30,190040
2015-10-31,225912
2015-11-30,222089
2015-12-31,209434
2016-01-31,214849
2016-02-29,188419
2016-03-31,151417
2016-04-30,160961
2016-05-31,132412
2016-06-30,108248
2016-07-31,121475
2016-08-31,149410
2016-09-30,159580
2016-10-31,219085
2016-11-30,225000
2016-12-31,227570
2017-01-31,218927
2017-02-28,202450
2017-03-31,183035
2017-04-30,179821
2017-05-31,134319
2017-06-30,128333
2017-07-31,138204
2017-08-31,169563
2017-09-30,197874
2017-10-31,210372
2017-11-30,217762
2017-12-31,257544
2018-01-31,242534
2018-02-28,189134
2018-03-31,170778
2018-04-30,165835
2018-05-31,145511
2018-06-30,120609
2018-07-31,142792
