ts,radiation
2008-01-31,244230
2008-02-29,197489
2008-03-31,170429
2008-04-30,136102
2008-05-31,134853
2008-06-30,100961
2008-07-31,115983
2008-08-31,138934
2008-09-30,170496
2008-10-31,218260
2008-11-30,185788
2008-12-31,232356
2009-01-31,207679
2009-02-28,185418
2009-03-31,191988
2009-04-30,155037
2009-05-31,121690
2009-06-30,109364
2009-07-31,118714
2009-08-31,142146
2009-09-30,163820
2009-10-31,221508
2009-11-30,138483
2009-12-31,229699
2010-01-31,228715
2010-02-28,165269
2010-03-31,191589
2010-04-30,145622
2010-05-31,128143
2010-06-30,106083
2010-07-31,101777
2010-08-31,134924
2010-09-30,157125
2010-10-31,201881
2010-11-30,212951
2010-12-31,235650
2011-01-31,240625
2011-02-28,207504
2011-03-31,168611
2011-04-30,165988
2011-05-31,135216
2011-06-30,114259
2011-07-31,118350
2011-08-31,150211
2011-09-30,182566
2011-10-31,218786
2011-11-30,193706
2011-12-31,232889
2012-01-31,219708
2012-02-29,207991
2012-03-31,176462
2012-04-30,154041
2012-05-31,123807
2012-06-30,102535
2012-07-31,112363
2012-08-31,144037
2012-09-30,175651
2012-10-31,219177
2012-11-30,223578
2012-12-31,236307
2013-01-31,256353
2013-02-28,184461
2013-03-31,188202
2013-04-30,157063
2013-05-31,126430
2013-06-30,100634
2013-07-31,123376
2013-08-31,151323
2013-09-30,187929
2013-10-31,231562
2013-11-30,232400
2013-12-31,241062
2014-01-31,256730
2014-02-28,183163
2014-03-31,191493
2014-04-30,153950
2014-05-31,125312
2014-06-30,112671
2014-07-31,120876
2014-08-31,149046
2014-09-30,185766
2014-10-31,229708
2014-11-30,218838
2014-12-31,219036
2015-01-31,237291
2015-02-28,211199
2015-03-31,198737
2015-04-30,156445
2015-05-31,106560
2015-06-30,110383
2015-07-31,120611
2015-08-31,148185
2015-09-30,182955
2015-10-31,226314
2015-11-30,228924
2015-12-31,217179
2016-01-31,215333
2016-02-29,201255
2016-03-31,156600
2016-04-30,152164
2016-05-31,116432
2016-06-30,91425
2016-07-31,117550
2016-08-31,128798
2016-09-30,143597
2016-10-31,214753
2016-11-30,234695
2016-12-31,220031
2017-01-31,243814
2017-02-28,221091
2017-03-31,201417
2017-04-30,150078
2017-05-31,133125
2017-06-30,109919
2017-07-31,119487
2017-08-31,154448
2017-09-30,177625
2017-10-31,224094
2017-11-30,228170
2017-12-31,258431
2018-01-31,256860
2018-02-28,211756
2018-03-31,190267
2018-04-30,165833
2018-05-31,132209
2018-06-30,106647
2018-07-31,124571
