ts,radiation
2008-01-31,249661
2008-02-29,204337
2008-03-31,173537
2008-04-30,152044
2008-05-31,154575
2008-06-30,117027
2008-07-31,137165
2008-08-31,149444
2008-09-30,178983
2008-10-31,219704
2008-11-30,176655
2008-12-31,208335
2009-01-31,222701
2009-02-28,189864
2009-03-31,201539
2009-04-30,162281
2009-05-31,132149
2009-06-30,118070
2009-07-31,134151
2009-08-31,153102
2009-09-30,178662
2009-10-31,231933
2009-11-30,138432
2009-12-31,227679
2010-01-31,223023
2010-02-28,184122
2010-03-31,193338
2010-04-30,155618
2010-05-31,136099
2010-06-30,125593
2010-07-31,106467
2010-08-31,146735
2010-09-30,157226
2010-10-31,193092
2010-11-30,227791
2010-12-31,237003
2011-01-31,239117
2011-02-28,179932
2011-03-31,155311
2011-04-30,180649
2011-05-31,138540
2011-06-30,126207
2011-07-31,125392
2011-08-31,168797
2011-09-30,190270
2011-10-31,193129
2011-11-30,197485
2011-12-31,223593
2012-01-31,223507
2012-02-29,207607
2012-03-31,182656
2012-04-30,153544
2012-05-31,146422
2012-06-30,117191
2012-07-31,130189
2012-08-31,157993
2012-09-30,175423
2012-10-31,221503
2012-11-30,215095
2012-12-31,217979
2013-01-31,240866
2013-02-28,190014
2013-03-31,196511
2013-04-30,170841
2013-05-31,132233
2013-06-30,102809
2013-07-31,136455
2013-08-31,170482
2013-09-30,187960
2013-10-31,225564
2013-11-30,211521
2013-12-31,211476
2014-01-31,217791
2014-02-28,189242
2014-03-31,203946
2014-04-30,156272
2014-05-31,136013
2014-06-30,130008
2014-07-31,136313
2014-08-31,171938
2014-09-30,191223
2014-10-31,223922
2014-11-30,198826
2014-12-31,226598
2015-01-31,203515
2015-02-28,213190
2015-03-31,202114
2015-04-30,157699
2015-05-31,119107
2015-06-30,125075
2015-07-31,135044
2015-08-31,157912
2015-09-30,193632
2015-10-31,221934
2015-11-30,226999
2015-12-31,191063
2016-01-31,212207
2016-02-29,195525
2016-03-31,167445
2016-04-30,164551
2016-05-31,114055
2016-06-30,107322
2016-07-31,119227
2016-08-31,138128
2016-09-30,154617
2016-10-31,213619
2016-11-30,227739
2016-12-31,193618
2017-01-31,221461
2017-02-28,217438
2017-03-31,202378
2017-04-30,160280
2017-05-31,149165
2017-06-30,123820
2017-07-31,135641
2017-08-31,168458
2017-09-30,191343
2017-10-31,226600
2017-11-30,221581
2017-12-31,240366
2018-01-31,246394
2018-02-28,215215
2018-03-31,210330
2018-04-30,170598
2018-05-31,144858
2018-06-30,129491
2018-07-31,140641
