year,month,radiationtype,radiation
2008,1,dni,98392
2008,2,dni,57103
2008,3,dni,156059
2008,4,dni,178298
2008,5,dni,187730
2008,6,dni,140300
2008,7,dni,156200
2008,8,dni,172567
2008,9,dni,180306
2008,10,dni,214961
2008,11,dni,175063
2008,12,dni,143700
2009,1,dni,58635
2009,2,dni,69387
2009,3,dni,212041
2009,4,dni,168180
2009,5,dni,137353
2009,6,dni,175672
2009,7,dni,197932
2009,8,dni,214559
2009,9,dni,205033
2009,10,dni,213550
2009,11,dni,125062
2009,12,dni,175168
2010,1,dni,64084
2010,2,dni,133857
2010,3,dni,155286
2010,4,dni,90302
2010,5,dni,170923
2010,6,dni,169876
2010,7,dni,101911
2010,8,dni,153757
2010,9,dni,170234
2010,10,dni,151215
2010,11,dni,105008
2010,12,dni,144181
2011,1,dni,149967
2011,2,dni,127118
2011,3,dni,134777
2011,4,dni,157014
2011,5,dni,192433
2011,6,dni,201571
2011,7,dni,202464
2011,8,dni,181805
2011,9,dni,217531
2011,10,dni,214726
2011,11,dni,183671
2011,12,dni,98201
2012,1,dni,189226
2012,2,dni,134985
2012,3,dni,87959
2012,4,dni,160168
2012,5,dni,136909
2012,6,dni,178851
2012,7,dni,142228
2012,8,dni,176693
2012,9,dni,190794
2012,10,dni,200523
2012,11,dni,237150
2012,12,dni,230911
2013,1,dni,126749
2013,2,dni,175427
2013,3,dni,124437
2013,4,dni,165103
2013,5,dni,133171
2013,6,dni,153336
2013,7,dni,135772
2013,8,dni,216868
2013,9,dni,213241
2013,10,dni,239742
2013,11,dni,132067
2013,12,dni,243740
2014,1,dni,131173
2014,2,dni,88526
2014,3,dni,132171
2014,4,dni,152950
2014,5,dni,160448
2014,6,dni,117170
2014,7,dni,187238
2014,8,dni,177188
2014,9,dni,231379
2014,10,dni,259517
2014,11,dni,220649
2014,12,dni,146589
2015,1,dni,124197
2015,2,dni,129344
2015,3,dni,157219
2015,4,dni,177099
2015,5,dni,164646
2015,6,dni,115140
2015,7,dni,179769
2015,8,dni,203783
2015,9,dni,163446
2015,10,dni,200287
2015,11,dni,192963
2015,12,dni,116825
2016,1,dni,171334
2016,2,dni,155749
2016,3,dni,135631
2016,4,dni,153161
2016,5,dni,133994
2016,6,dni,125688
2016,7,dni,149593
2016,8,dni,158780
2016,9,dni,158220
2016,10,dni,231300
2016,11,dni,242377
2016,12,dni,202718
2017,1,dni,184827
2017,2,dni,127482
2017,3,dni,210485
2017,4,dni,202863
2017,5,dni,178365
2017,6,dni,146070
2017,7,dni,167457
2017,8,dni,215781
2017,9,dni,226625
2017,10,dni,244176
2017,11,dni,233071
2017,12,dni,304126
2018,1,dni,171510
2018,2,dni,195385
2018,3,dni,145819
2018,4,dni,221878
2018,5,dni,181568
2018,6,dni,159560
2018,7,dni,184977
2018,8,dni,0
