year,month,radiationtype,radiation
2008,1,dni,119181
2008,2,dni,95529
2008,3,dni,109001
2008,4,dni,179162
2008,5,dni,158086
2008,6,dni,143494
2008,7,dni,145029
2008,8,dni,176727
2008,9,dni,165149
2008,10,dni,217303
2008,11,dni,179413
2008,12,dni,189278
2009,1,dni,42918
2009,2,dni,74978
2009,3,dni,198109
2009,4,dni,168134
2009,5,dni,123130
2009,6,dni,187047
2009,7,dni,205491
2009,8,dni,198860
2009,9,dni,204773
2009,10,dni,229436
2009,11,dni,118569
2009,12,dni,223062
2010,1,dni,83592
2010,2,dni,112109
2010,3,dni,110870
2010,4,dni,99651
2010,5,dni,165091
2010,6,dni,166437
2010,7,dni,114129
2010,8,dni,128608
2010,9,dni,120609
2010,10,dni,154240
2010,11,dni,67647
2010,12,dni,105649
2011,1,dni,141978
2011,2,dni,111737
2011,3,dni,89360
2011,4,dni,143424
2011,5,dni,182697
2011,6,dni,168320
2011,7,dni,197089
2011,8,dni,167991
2011,9,dni,209373
2011,10,dni,182381
2011,11,dni,205980
2011,12,dni,154598
2012,1,dni,171711
2012,2,dni,129497
2012,3,dni,99648
2012,4,dni,157569
2012,5,dni,117482
2012,6,dni,121774
2012,7,dni,120168
2012,8,dni,162350
2012,9,dni,185654
2012,10,dni,217498
2012,11,dni,240719
2012,12,dni,244688
2013,1,dni,198432
2013,2,dni,147366
2013,3,dni,149783
2013,4,dni,130077
2013,5,dni,103561
2013,6,dni,154683
2013,7,dni,124614
2013,8,dni,211034
2013,9,dni,212671
2013,10,dni,215784
2013,11,dni,130748
2013,12,dni,261387
2014,1,dni,169685
2014,2,dni,108026
2014,3,dni,125752
2014,4,dni,136626
2014,5,dni,154941
2014,6,dni,124057
2014,7,dni,188493
2014,8,dni,186594
2014,9,dni,200804
2014,10,dni,249728
2014,11,dni,226193
2014,12,dni,225747
2015,1,dni,157387
2015,2,dni,158589
2015,3,dni,195942
2015,4,dni,163766
2015,5,dni,147441
2015,6,dni,94847
2015,7,dni,160970
2015,8,dni,197143
2015,9,dni,208510
2015,10,dni,206287
2015,11,dni,209208
2015,12,dni,201053
2016,1,dni,182099
2016,2,dni,164695
2016,3,dni,121283
2016,4,dni,151900
2016,5,dni,145707
2016,6,dni,140178
2016,7,dni,153586
2016,8,dni,153249
2016,9,dni,153863
2016,10,dni,241736
2016,11,dni,282416
2016,12,dni,257726
2017,1,dni,205254
2017,2,dni,216303
2017,3,dni,185875
2017,4,dni,190930
2017,5,dni,158974
2017,6,dni,155331
2017,7,dni,175343
2017,8,dni,212041
2017,9,dni,235016
2017,10,dni,213173
2017,11,dni,239268
2017,12,dni,304056
2018,1,dni,202684
2018,2,dni,174590
2018,3,dni,162602
2018,4,dni,179606
2018,5,dni,167947
2018,6,dni,165786
2018,7,dni,192010
2018,8,dni,0
