year,month,radiationtype,radiation
2008,1,dni,145896
2008,2,dni,47703
2008,3,dni,156016
2008,4,dni,211163
2008,5,dni,248212
2008,6,dni,197380
2008,7,dni,234383
2008,8,dni,228042
2008,9,dni,208056
2008,10,dni,217240
2008,11,dni,148449
2008,12,dni,104690
2009,1,dni,118206
2009,2,dni,84575
2009,3,dni,235866
2009,4,dni,212612
2009,5,dni,198038
2009,6,dni,222910
2009,7,dni,225835
2009,8,dni,229081
2009,9,dni,218735
2009,10,dni,259132
2009,11,dni,111934
2009,12,dni,144144
2010,1,dni,120449
2010,2,dni,161171
2010,3,dni,187581
2010,4,dni,153944
2010,5,dni,141576
2010,6,dni,218625
2010,7,dni,179880
2010,8,dni,209462
2010,9,dni,181417
2010,10,dni,155630
2010,11,dni,219580
2010,12,dni,131379
2011,1,dni,111487
2011,2,dni,85750
2011,3,dni,87533
2011,4,dni,166636
2011,5,dni,239153
2011,6,dni,234407
2011,7,dni,227165
2011,8,dni,232662
2011,9,dni,261693
2011,10,dni,216473
2011,11,dni,164121
2011,12,dni,153954
2012,1,dni,150298
2012,2,dni,187058
2012,3,dni,112801
2012,4,dni,206570
2012,5,dni,205324
2012,6,dni,201827
2012,7,dni,205175
2012,8,dni,214941
2012,9,dni,238830
2012,10,dni,251321
2012,11,dni,176553
2012,12,dni,209950
2013,1,dni,212957
2013,2,dni,129313
2013,3,dni,159486
2013,4,dni,203544
2013,5,dni,179704
2013,6,dni,181874
2013,7,dni,226186
2013,8,dni,253806
2013,9,dni,221979
2013,10,dni,203496
2013,11,dni,143636
2013,12,dni,129255
2014,1,dni,158934
2014,2,dni,102419
2014,3,dni,207321
2014,4,dni,191045
2014,5,dni,197270
2014,6,dni,221573
2014,7,dni,215598
2014,8,dni,261845
2014,9,dni,260480
2014,10,dni,255507
2014,11,dni,161895
2014,12,dni,143526
2015,1,dni,123847
2015,2,dni,175016
2015,3,dni,196031
2015,4,dni,223948
2015,5,dni,206645
2015,6,dni,206899
2015,7,dni,215493
2015,8,dni,233751
2015,9,dni,266126
2015,10,dni,206792
2015,11,dni,200392
2015,12,dni,137863
2016,1,dni,166233
2016,2,dni,169335
2016,3,dni,143497
2016,4,dni,210707
2016,5,dni,172310
2016,6,dni,202125
2016,7,dni,217594
2016,8,dni,192905
2016,9,dni,195939
2016,10,dni,240105
2016,11,dni,231404
2016,12,dni,171955
2017,1,dni,146962
2017,2,dni,173360
2017,3,dni,193726
2017,4,dni,210210
2017,5,dni,238220
2017,6,dni,223192
2017,7,dni,228308
2017,8,dni,259789
2017,9,dni,245154
2017,10,dni,250799
2017,11,dni,236782
2017,12,dni,255933
2018,1,dni,152509
2018,2,dni,168741
2018,3,dni,239204
2018,4,dni,246598
2018,5,dni,241332
2018,6,dni,229160
2018,7,dni,243658
2018,8,dni,0
