year,month,radiationtype,radiation
2008,1,dni,84388
2008,2,dni,60980
2008,3,dni,161958
2008,4,dni,187338
2008,5,dni,225253
2008,6,dni,179370
2008,7,dni,172991
2008,8,dni,202944
2008,9,dni,203317
2008,10,dni,247445
2008,11,dni,188067
2008,12,dni,134720
2009,1,dni,44698
2009,2,dni,69667
2009,3,dni,205920
2009,4,dni,193304
2009,5,dni,165722
2009,6,dni,209591
2009,7,dni,219604
2009,8,dni,233975
2009,9,dni,215894
2009,10,dni,234186
2009,11,dni,136986
2009,12,dni,173569
2010,1,dni,71843
2010,2,dni,108046
2010,3,dni,169719
2010,4,dni,140184
2010,5,dni,202728
2010,6,dni,192634
2010,7,dni,174873
2010,8,dni,200263
2010,9,dni,175819
2010,10,dni,184043
2010,11,dni,147784
2010,12,dni,136315
2011,1,dni,112956
2011,2,dni,104928
2011,3,dni,99388
2011,4,dni,174470
2011,5,dni,236280
2011,6,dni,226018
2011,7,dni,219209
2011,8,dni,217595
2011,9,dni,233868
2011,10,dni,235698
2011,11,dni,199062
2011,12,dni,119226
2012,1,dni,163600
2012,2,dni,147918
2012,3,dni,100931
2012,4,dni,180899
2012,5,dni,176609
2012,6,dni,195405
2012,7,dni,175173
2012,8,dni,202316
2012,9,dni,216560
2012,10,dni,234289
2012,11,dni,261528
2012,12,dni,213207
2013,1,dni,151928
2013,2,dni,170661
2013,3,dni,138446
2013,4,dni,185111
2013,5,dni,189404
2013,6,dni,185402
2013,7,dni,200082
2013,8,dni,239975
2013,9,dni,234210
2013,10,dni,238068
2013,11,dni,136844
2013,12,dni,223986
2014,1,dni,138257
2014,2,dni,77334
2014,3,dni,162346
2014,4,dni,172465
2014,5,dni,204961
2014,6,dni,159277
2014,7,dni,220268
2014,8,dni,213879
2014,9,dni,238939
2014,10,dni,280298
2014,11,dni,230430
2014,12,dni,139027
2015,1,dni,123233
2015,2,dni,168924
2015,3,dni,165648
2015,4,dni,196127
2015,5,dni,191199
2015,6,dni,166046
2015,7,dni,214680
2015,8,dni,227974
2015,9,dni,204425
2015,10,dni,252142
2015,11,dni,206557
2015,12,dni,111249
2016,1,dni,178291
2016,2,dni,114605
2016,3,dni,121250
2016,4,dni,229679
2016,5,dni,178849
2016,6,dni,170973
2016,7,dni,189703
2016,8,dni,202661
2016,9,dni,197001
2016,10,dni,261368
2016,11,dni,250106
2016,12,dni,226524
2017,1,dni,164382
2017,2,dni,137665
2017,3,dni,190598
2017,4,dni,249482
2017,5,dni,220770
2017,6,dni,183979
2017,7,dni,223711
2017,8,dni,242481
2017,9,dni,237884
2017,10,dni,252711
2017,11,dni,257859
2017,12,dni,264014
2018,1,dni,143547
2018,2,dni,181896
2018,3,dni,169852
2018,4,dni,247401
2018,5,dni,219376
2018,6,dni,202688
2018,7,dni,218537
2018,8,dni,0
