ts,radiation
2008-01-31,119181
2008-02-29,95529
2008-03-31,109001
2008-04-30,179162
2008-05-31,158086
2008-06-30,143494
2008-07-31,145029
2008-08-31,176727
2008-09-30,165149
2008-10-31,217303
2008-11-30,179413
2008-12-31,189278
2009-01-31,42918
2009-02-28,74978
2009-03-31,198109
2009-04-30,168134
2009-05-31,123130
2009-06-30,187047
2009-07-31,205491
2009-08-31,198860
2009-09-30,204773
2009-10-31,229436
2009-11-30,118569
2009-12-31,223062
2010-01-31,83592
2010-02-28,112109
2010-03-31,110870
2010-04-30,99651
2010-05-31,165091
2010-06-30,166437
2010-07-31,114129
2010-08-31,128608
2010-09-30,120609
2010-10-31,154240
2010-11-30,67647
2010-12-31,105649
2011-01-31,141978
2011-02-28,111737
2011-03-31,89360
2011-04-30,143424
2011-05-31,182697
2011-06-30,168320
2011-07-31,197089
2011-08-31,167991
2011-09-30,209373
2011-10-31,182381
2011-11-30,205980
2011-12-31,154598
2012-01-31,171711
2012-02-29,129497
2012-03-31,99648
2012-04-30,157569
2012-05-31,117482
2012-06-30,121774
2012-07-31,120168
2012-08-31,162350
2012-09-30,185654
2012-10-31,217498
2012-11-30,240719
2012-12-31,244688
2013-01-31,198432
2013-02-28,147366
2013-03-31,149783
2013-04-30,130077
2013-05-31,103561
2013-06-30,154683
2013-07-31,124614
2013-08-31,211034
2013-09-30,212671
2013-10-31,215784
2013-11-30,130748
2013-12-31,261387
2014-01-31,169685
2014-02-28,108026
2014-03-31,125752
2014-04-30,136626
2014-05-31,154941
2014-06-30,124057
2014-07-31,188493
2014-08-31,186594
2014-09-30,200804
2014-10-31,249728
2014-11-30,226193
2014-12-31,225747
2015-01-31,157387
2015-02-28,158589
2015-03-31,195942
2015-04-30,163766
2015-05-31,147441
2015-06-30,94847
2015-07-31,160970
2015-08-31,197143
2015-09-30,208510
2015-10-31,206287
2015-11-30,209208
2015-12-31,201053
2016-01-31,182099
2016-02-29,164695
2016-03-31,121283
2016-04-30,151900
2016-05-31,145707
2016-06-30,140178
2016-07-31,153586
2016-08-31,153249
2016-09-30,153863
2016-10-31,241736
2016-11-30,282416
2016-12-31,257726
2017-01-31,205254
2017-02-28,216303
2017-03-31,185875
2017-04-30,190930
2017-05-31,158974
2017-06-30,155331
2017-07-31,175343
2017-08-31,212041
2017-09-30,235016
2017-10-31,213173
2017-11-30,239268
2017-12-31,304056
2018-01-31,202684
2018-02-28,174590
2018-03-31,162602
2018-04-30,179606
2018-05-31,167947
2018-06-30,165786
2018-07-31,192010
