ts,radiation
2008-01-31,84388
2008-02-29,60980
2008-03-31,161958
2008-04-30,187338
2008-05-31,225253
2008-06-30,179370
2008-07-31,172991
2008-08-31,202944
2008-09-30,203317
2008-10-31,247445
2008-11-30,188067
2008-12-31,134720
2009-01-31,44698
2009-02-28,69667
2009-03-31,205920
2009-04-30,193304
2009-05-31,165722
2009-06-30,209591
2009-07-31,219604
2009-08-31,233975
2009-09-30,215894
2009-10-31,234186
2009-11-30,136986
2009-12-31,173569
2010-01-31,71843
2010-02-28,108046
2010-03-31,169719
2010-04-30,140184
2010-05-31,202728
2010-06-30,192634
2010-07-31,174873
2010-08-31,200263
2010-09-30,175819
2010-10-31,184043
2010-11-30,147784
2010-12-31,136315
2011-01-31,112956
2011-02-28,104928
2011-03-31,99388
2011-04-30,174470
2011-05-31,236280
2011-06-30,226018
2011-07-31,219209
2011-08-31,217595
2011-09-30,233868
2011-10-31,235698
2011-11-30,199062
2011-12-31,119226
2012-01-31,163600
2012-02-29,147918
2012-03-31,100931
2012-04-30,180899
2012-05-31,176609
2012-06-30,195405
2012-07-31,175173
2012-08-31,202316
2012-09-30,216560
2012-10-31,234289
2012-11-30,261528
2012-12-31,213207
2013-01-31,151928
2013-02-28,170661
2013-03-31,138446
2013-04-30,185111
2013-05-31,189404
2013-06-30,185402
2013-07-31,200082
2013-08-31,239975
2013-09-30,234210
2013-10-31,238068
2013-11-30,136844
2013-12-31,223986
2014-01-31,138257
2014-02-28,77334
2014-03-31,162346
2014-04-30,172465
2014-05-31,204961
2014-06-30,159277
2014-07-31,220268
2014-08-31,213879
2014-09-30,238939
2014-10-31,280298
2014-11-30,230430
2014-12-31,139027
2015-01-31,123233
2015-02-28,168924
2015-03-31,165648
2015-04-30,196127
2015-05-31,191199
2015-06-30,166046
2015-07-31,214680
2015-08-31,227974
2015-09-30,204425
2015-10-31,252142
2015-11-30,206557
2015-12-31,111249
2016-01-31,178291
2016-02-29,114605
2016-03-31,121250
2016-04-30,229679
2016-05-31,178849
2016-06-30,170973
2016-07-31,189703
2016-08-31,202661
2016-09-30,197001
2016-10-31,261368
2016-11-30,250106
2016-12-31,226524
2017-01-31,164382
2017-02-28,137665
2017-03-31,190598
2017-04-30,249482
2017-05-31,220770
2017-06-30,183979
2017-07-31,223711
2017-08-31,242481
2017-09-30,237884
2017-10-31,252711
2017-11-30,257859
2017-12-31,264014
2018-01-31,143547
2018-02-28,181896
2018-03-31,169852
2018-04-30,247401
2018-05-31,219376
2018-06-30,202688
2018-07-31,218537
