ts,radiation
2008-01-31,177715
2008-02-29,134256
2008-03-31,190965
2008-04-30,203296
2008-05-31,213691
2008-06-30,171728
2008-07-31,188317
2008-08-31,202938
2008-09-30,183759
2008-10-31,250403
2008-11-30,199315
2008-12-31,214070
2009-01-31,65763
2009-02-28,167296
2009-03-31,246637
2009-04-30,180760
2009-05-31,140358
2009-06-30,197231
2009-07-31,225660
2009-08-31,218485
2009-09-30,228557
2009-10-31,276129
2009-11-30,143888
2009-12-31,191453
2010-01-31,167559
2010-02-28,133955
2010-03-31,206004
2010-04-30,162498
2010-05-31,186587
2010-06-30,199098
2010-07-31,165894
2010-08-31,195691
2010-09-30,140564
2010-10-31,208067
2010-11-30,146103
2010-12-31,161945
2011-01-31,243788
2011-02-28,206409
2011-03-31,144641
2011-04-30,209043
2011-05-31,229947
2011-06-30,171031
2011-07-31,220127
2011-08-31,216528
2011-09-30,248757
2011-10-31,233724
2011-11-30,198404
2011-12-31,169568
2012-01-31,232316
2012-02-29,211306
2012-03-31,156618
2012-04-30,191315
2012-05-31,167110
2012-06-30,150838
2012-07-31,156479
2012-08-31,194158
2012-09-30,200344
2012-10-31,243696
2012-11-30,247852
2012-12-31,222749
2013-01-31,257249
2013-02-28,203066
2013-03-31,216501
2013-04-30,190295
2013-05-31,169911
2013-06-30,170141
2013-07-31,187491
2013-08-31,246420
2013-09-30,228855
2013-10-31,283767
2013-11-30,208332
2013-12-31,249076
2014-01-31,256453
2014-02-28,154113
2014-03-31,209187
2014-04-30,224701
2014-05-31,193980
2014-06-30,199258
2014-07-31,225401
2014-08-31,224643
2014-09-30,232572
2014-10-31,283232
2014-11-30,221839
2014-12-31,204539
2015-01-31,193000
2015-02-28,234462
2015-03-31,226826
2015-04-30,214297
2015-05-31,185301
2015-06-30,179349
2015-07-31,207252
2015-08-31,219214
2015-09-30,237804
2015-10-31,277196
2015-11-30,256179
2015-12-31,204644
2016-01-31,206322
2016-02-29,201503
2016-03-31,179935
2016-04-30,198782
2016-05-31,157057
2016-06-30,131612
2016-07-31,141391
2016-08-31,198749
2016-09-30,156571
2016-10-31,253965
2016-11-30,218912
2016-12-31,224364
2017-01-31,258935
2017-02-28,226955
2017-03-31,229521
2017-04-30,242558
2017-05-31,188483
2017-06-30,194558
2017-07-31,176303
2017-08-31,245431
2017-09-30,252000
2017-10-31,230631
2017-11-30,235349
2017-12-31,305936
2018-01-31,275969
2018-02-28,225732
2018-03-31,207114
2018-04-30,244196
2018-05-31,201103
2018-06-30,169949
2018-07-31,199694
