ts,radiation
2008-01-31,135178
2008-02-29,111003
2008-03-31,95665
2008-04-30,171073
2008-05-31,171758
2008-06-30,145563
2008-07-31,142725
2008-08-31,183685
2008-09-30,189887
2008-10-31,176595
2008-11-30,196265
2008-12-31,220036
2009-01-31,55828
2009-02-28,59923
2009-03-31,198791
2009-04-30,161649
2009-05-31,129975
2009-06-30,189095
2009-07-31,206932
2009-08-31,216865
2009-09-30,197955
2009-10-31,219187
2009-11-30,119348
2009-12-31,221786
2010-01-31,93364
2010-02-28,87764
2010-03-31,117746
2010-04-30,129108
2010-05-31,173687
2010-06-30,155935
2010-07-31,146249
2010-08-31,142608
2010-09-30,108962
2010-10-31,151178
2010-11-30,48109
2010-12-31,81410
2011-01-31,200189
2011-02-28,157028
2011-03-31,83040
2011-04-30,165765
2011-05-31,186874
2011-06-30,165055
2011-07-31,201557
2011-08-31,157661
2011-09-30,224615
2011-10-31,184194
2011-11-30,202232
2011-12-31,135838
2012-01-31,175778
2012-02-29,175212
2012-03-31,106177
2012-04-30,179173
2012-05-31,147871
2012-06-30,131560
2012-07-31,115390
2012-08-31,181313
2012-09-30,195384
2012-10-31,194011
2012-11-30,239603
2012-12-31,251208
2013-01-31,210837
2013-02-28,123484
2013-03-31,151764
2013-04-30,134746
2013-05-31,139188
2013-06-30,164185
2013-07-31,141016
2013-08-31,218187
2013-09-30,221300
2013-10-31,229677
2013-11-30,136288
2013-12-31,240911
2014-01-31,188841
2014-02-28,121375
2014-03-31,139572
2014-04-30,152090
2014-05-31,166430
2014-06-30,127571
2014-07-31,195943
2014-08-31,199373
2014-09-30,195944
2014-10-31,239034
2014-11-30,238104
2014-12-31,236426
2015-01-31,157548
2015-02-28,157741
2015-03-31,189515
2015-04-30,185216
2015-05-31,159551
2015-06-30,123150
2015-07-31,163984
2015-08-31,206110
2015-09-30,215983
2015-10-31,205445
2015-11-30,196913
2015-12-31,217924
2016-01-31,193384
2016-02-29,153667
2016-03-31,134981
2016-04-30,140544
2016-05-31,162144
2016-06-30,147156
2016-07-31,156800
2016-08-31,148307
2016-09-30,143077
2016-10-31,236581
2016-11-30,251495
2016-12-31,236271
2017-01-31,209892
2017-02-28,222054
2017-03-31,161214
2017-04-30,187288
2017-05-31,154416
2017-06-30,157217
2017-07-31,197821
2017-08-31,207440
2017-09-30,231176
2017-10-31,206333
2017-11-30,223214
2017-12-31,288149
2018-01-31,213412
2018-02-28,194674
2018-03-31,183191
2018-04-30,167014
2018-05-31,190580
2018-06-30,176655
2018-07-31,195383
