ts,radiation
2008-01-31,218665
2008-02-29,131686
2008-03-31,136979
2008-04-30,168859
2008-05-31,239066
2008-06-30,164871
2008-07-31,225375
2008-08-31,220379
2008-09-30,228136
2008-10-31,216256
2008-11-30,276683
2008-12-31,233945
2009-01-31,239626
2009-02-28,138304
2009-03-31,232549
2009-04-30,192053
2009-05-31,183040
2009-06-30,161575
2009-07-31,204799
2009-08-31,241611
2009-09-30,259529
2009-10-31,259006
2009-11-30,135676
2009-12-31,268592
2010-01-31,211807
2010-02-28,238214
2010-03-31,223591
2010-04-30,191951
2010-05-31,214819
2010-06-30,178374
2010-07-31,154155
2010-08-31,210190
2010-09-30,223649
2010-10-31,254124
2010-11-30,265042
2010-12-31,249470
2011-01-31,153221
2011-02-28,103655
2011-03-31,159360
2011-04-30,184796
2011-05-31,160560
2011-06-30,206692
2011-07-31,177634
2011-08-31,249214
2011-09-30,270830
2011-10-31,261166
2011-11-30,268276
2011-12-31,299395
2012-01-31,137030
2012-02-29,224222
2012-03-31,144101
2012-04-30,216537
2012-05-31,213748
2012-06-30,167016
2012-07-31,184762
2012-08-31,216160
2012-09-30,226776
2012-10-31,255790
2012-11-30,266845
2012-12-31,157153
2013-01-31,188046
2013-02-28,181887
2013-03-31,243281
2013-04-30,215946
2013-05-31,156555
2013-06-30,106586
2013-07-31,223605
2013-08-31,243865
2013-09-30,264939
2013-10-31,249882
2013-11-30,266489
2013-12-31,235688
2014-01-31,224036
2014-02-28,235526
2014-03-31,245627
2014-04-30,218999
2014-05-31,170339
2014-06-30,202483
2014-07-31,212423
2014-08-31,262657
2014-09-30,265202
2014-10-31,256234
2014-11-30,226552
2014-12-31,293733
2015-01-31,236032
2015-02-28,196258
2015-03-31,175670
2015-04-30,135585
2015-05-31,130971
2015-06-30,206026
2015-07-31,173051
2015-08-31,223154
2015-09-30,265164
2015-10-31,246579
2015-11-30,256806
2015-12-31,289925
2016-01-31,183186
2016-02-29,235163
2016-03-31,203988
2016-04-30,211325
2016-05-31,162671
2016-06-30,136410
2016-07-31,168474
2016-08-31,197386
2016-09-30,219923
2016-10-31,235551
2016-11-30,291228
2016-12-31,243565
2017-01-31,191485
2017-02-28,212545
2017-03-31,221471
2017-04-30,211440
2017-05-31,225547
2017-06-30,188947
2017-07-31,209962
2017-08-31,234778
2017-09-30,257323
2017-10-31,280551
2017-11-30,305834
2017-12-31,272814
2018-01-31,231921
2018-02-28,240535
2018-03-31,254364
2018-04-30,227109
2018-05-31,215093
2018-06-30,184514
2018-07-31,226056
