"year","month","radiationtype","radiation"
"2018","08","dni","0"
"2017","12","dni","305936"
"2011","09","ghi","194704"
"2012","09","ghi","176158"
"2009","05","ghi","119765"
"2017","04","ghi","177053"
"2012","11","ghi","228949"
"2012","04","dni","191315"
"2011","05","dni","229947"
"2017","02","ghi","205236"
"2008","08","dni","202938"
"2012","02","dni","211306"
"2017","01","ghi","230797"
"2010","04","dni","162498"
"2015","07","ghi","136263"
"2008","09","ghi","165255"
"2011","10","ghi","211441"
"2011","02","ghi","196065"
"2011","01","ghi","231695"
"2010","08","dni","195691"
"2014","07","dni","225401"
"2008","06","dni","171728"
"2008","03","ghi","165755"
"2012","01","dni","232316"
"2010","03","dni","206004"
"2017","05","dni","188483"
"2015","12","ghi","214172"
"2016","12","ghi","224107"
"2011","11","ghi","207947"
"2015","05","ghi","121158"
"2010","02","ghi","168717"
"2012","06","ghi","114646"
"2013","12","ghi","240443"
"2010","01","ghi","191028"
"2011","04","dni","209043"
"2009","08","dni","218485"
"2008","05","ghi","144555"
"2018","03","ghi","190617"
"2016","11","dni","218912"
"2013","03","ghi","195489"
"2017","07","ghi","128998"
"2014","08","ghi","162696"
"2013","11","dni","208332"
"2012","07","dni","156479"
"2010","12","dni","161945"
"2010","04","ghi","151976"
"2014","09","dni","232572"
"2016","03","ghi","167833"
"2014","11","dni","221839"
"2015","06","dni","179349"
