"year","month","radiationtype","radiation"
"2017","09","dni","237884"
"2017","08","ghi","187910"
"2014","05","dni","204961"
"2011","06","dni","226018"
"2012","08","dni","202316"
"2017","11","dni","257859"
"2008","01","dni","84388"
"2015","09","ghi","189349"
"2011","08","dni","217595"
"2008","02","dni","60980"
"2016","09","ghi","191488"
"2018","05","dni","219376"
"2013","09","ghi","203661"
"2008","10","dni","247445"
"2009","06","ghi","152674"
"2017","05","ghi","168801"
"2011","12","dni","119226"
"2014","01","dni","138257"
"2011","04","ghi","170711"
"2012","05","dni","176609"
"2009","12","ghi","201680"
"2014","10","dni","280298"
"2014","02","dni","77334"
"2012","02","dni","147918"
"2017","02","ghi","166221"
"2017","01","ghi","192474"
"2008","08","dni","202944"
"2012","01","dni","163600"
"2010","03","dni","169719"
"2010","08","ghi","174929"
"2010","09","dni","175819"
"2010","11","dni","147784"
"2008","06","ghi","141263"
"2015","07","dni","214680"
"2008","03","dni","161958"
"2011","02","dni","104928"
"2017","10","ghi","227796"
"2010","07","ghi","151405"
"2012","10","dni","234289"
"2011","10","dni","235698"
"2011","01","dni","112956"
"2012","01","ghi","185150"
"2012","10","ghi","220821"
"2013","07","dni","200082"
"2016","07","dni","189703"
"2008","08","ghi","170925"
"2012","05","ghi","152725"
"2016","02","ghi","157152"
"2016","01","ghi","193807"
"2011","12","ghi","171137"
"2009","01","dni","44698"
"2016","10","ghi","231422"
"2018","01","ghi","180787"
"2014","02","ghi","126601"
"2008","09","dni","203317"
"2012","02","ghi","176803"
"2010","06","dni","192634"
"2018","07","dni","218537"
"2008","11","dni","188067"
"2010","03","ghi","180871"
"2009","02","dni","69667"
"2013","01","ghi","170349"
"2013","10","ghi","224067"
"2018","02","ghi","183904"
"2014","01","ghi","192486"
"2010","07","dni","174873"
"2013","02","ghi","189718"
"2017","01","dni","164382"
"2017","10","dni","252711"
"2015","02","ghi","187925"
"2015","01","ghi","175789"
"2015","10","ghi","226038"
"2017","02","dni","137665"
"2012","12","ghi","214849"
"2016","03","dni","121250"
"2010","09","ghi","183499"
"2014","08","dni","213879"
"2017","05","dni","220770"
"2015","12","ghi","159316"
"2011","11","ghi","208460"
"2016","12","ghi","222703"
"2012","06","ghi","149907"
"2010","02","ghi","159872"
"2011","04","dni","174470"
"2015","05","ghi","142106"
"2010","01","ghi","138116"
"2013","12","ghi","222488"
"2011","02","ghi","151787"
"2011","10","ghi","222496"
"2011","01","ghi","164102"
"2008","03","ghi","167320"
"2014","07","dni","220268"
"2008","06","dni","179370"
"2010","08","dni","200263"
"2013","01","dni","151928"
"2017","12","ghi","237095"
