"year","month","radiationtype","radiation"
"2008","01","ghi","185098"
"2010","10","ghi","183793"
"2012","09","dni","238830"
"2008","02","ghi","124766"
"2009","04","ghi","180963"
"2018","05","ghi","176041"
"2012","08","ghi","181722"
"2015","05","ghi","147208"
"2013","12","ghi","176432"
"2010","02","ghi","179449"
"2015","03","dni","196031"
"2009","07","ghi","162962"
"2008","12","dni","104690"
"2018","08","dni","0"
"2016","03","dni","143497"
"2014","08","dni","261845"
"2010","09","ghi","186045"
"2008","05","dni","248212"
"2013","03","dni","159486"
"2017","11","dni","236782"
"2017","08","ghi","193396"
"2012","08","dni","214941"
"2017","09","dni","245154"
"2013","07","dni","226186"
"2012","10","ghi","226443"
"2009","02","dni","84575"
"2013","10","ghi","207001"
"2018","02","ghi","179571"
"2011","12","ghi","196421"
"2018","01","ghi","186339"
"2016","10","ghi","222903"
"2014","01","ghi","192911"
"2013","01","ghi","222375"
"2010","07","dni","179880"
"2013","05","ghi","157567"
"2014","12","ghi","189425"
"2011","06","ghi","159671"
"2009","12","dni","144144"
"2016","05","ghi","151647"
"2017","09","ghi","207396"
"2017","05","dni","238220"
"2015","12","ghi","177418"
"2011","11","ghi","194229"
"2016","12","ghi","193449"
"2010","01","ghi","174515"
"2012","06","ghi","151521"
"2011","04","dni","166636"
"2012","05","dni","205324"
"2014","02","dni","102419"
"2009","12","ghi","179863"
"2014","10","dni","255507"
"2014","05","dni","197270"
"2011","06","dni","234407"
"2008","02","dni","47703"
"2008","10","dni","217240"
"2016","09","ghi","190251"
"2011","08","dni","232662"
"2012","01","ghi","191174"
"2016","07","dni","217594"
"2008","08","ghi","179874"
"2013","09","ghi","198916"
"2008","01","dni","145896"
"2009","06","ghi","154989"
"2018","05","dni","241332"
"2015","09","ghi","207732"
"2012","02","ghi","195254"
"2018","07","dni","243658"
"2010","06","dni","218625"
"2010","03","ghi","194413"
"2008","09","dni","208056"
"2008","11","dni","148449"
"2016","02","ghi","180322"
"2012","05","ghi","165992"
"2016","01","ghi","188048"
"2014","02","ghi","150287"
"2009","01","dni","118206"
"2014","01","dni","158934"
"2011","12","dni","153954"
"2017","05","ghi","175838"
"2011","04","ghi","157672"
"2008","04","dni","211163"
"2010","06","ghi","154534"
"2014","07","ghi","161918"
"2018","07","ghi","170381"
"2016","07","ghi","161300"
"2013","01","dni","212957"
"2017","12","ghi","234599"
"2016","02","dni","169335"
"2018","02","dni","168741"
"2012","12","dni","209950"
"2013","02","dni","129313"
"2012","04","ghi","179578"
"2013","10","dni","203496"
"2016","01","dni","166233"
"2018","01","dni","152509"
"2016","10","dni","240105"
"2015","10","dni","206792"
"2013","07","ghi","165831"
"2009","07","dni","225835"
"2008","11","ghi","184605"
"2012","04","dni","206570"
"2012","09","ghi","201997"
"2017","04","ghi","182667"
"2012","11","ghi","194038"
"2011","05","dni","239153"
"2014","12","dni","143526"
"2012","06","dni","201827"
"2014","04","ghi","177553"
"2013","05","dni","179704"
"2017","06","ghi","157356"
"2016","05","dni","172310"
"2009","04","dni","212612"
"2016","04","ghi","180241"
"2009","11","ghi","118327"
"2010","01","dni","120449"
"2013","12","dni","129255"
"2011","11","dni","164121"
"2011","03","ghi","146134"
"2013","04","ghi","174706"
"2018","04","ghi","195155"
"2012","01","dni","150298"
"2010","09","dni","181417"
"2008","06","ghi","143955"
"2015","07","dni","215493"
"2010","11","dni","219580"
"2011","07","dni","227165"
"2016","06","dni","202125"
"2015","08","dni","233751"
"2018","06","dni","229160"
"2009","03","ghi","208232"
"2013","06","ghi","143481"
"2009","03","dni","235866"
"2008","04","ghi","163447"
"2013","08","dni","253806"
"2010","05","dni","141576"
"2014","04","dni","191045"
"2010","12","ghi","178237"
"2012","07","ghi","160154"
"2015","09","dni","266126"
"2010","10","dni","155630"
"2015","05","dni","206645"
"2016","12","dni","171955"
"2010","02","dni","161171"
"2009","09","ghi","193188"
"2011","09","ghi","211033"
"2017","12","dni","255933"
"2009","05","ghi","158895"
"2008","07","ghi","161984"
"2009","10","ghi","227200"
"2014","05","ghi","164005"
"2012","03","ghi","160488"
"2012","11","dni","176553"
"2009","02","ghi","133391"
"2009","01","ghi","172275"
"2012","02","dni","187058"
"2017","02","ghi","181956"
"2010","08","ghi","175720"
"2010","03","dni","187581"
"2015","01","dni","123847"
"2014","10","ghi","228193"
"2008","08","dni","228042"
"2017","01","ghi","184638"
"2015","02","dni","175016"
"2011","05","ghi","176565"
"2008","09","ghi","193239"
"2014","03","dni","207321"
"2010","11","ghi","214145"
"2015","07","ghi","159612"
"2010","04","dni","153944"
"2018","03","ghi","216758"
"2008","05","ghi","177397"
"2009","08","dni","229081"
"2009","08","ghi","181770"
"2016","04","dni","210707"
"2012","03","dni","112801"
"2015","04","dni","223948"
"2013","04","dni","203544"
"2017","06","dni","223192"
"2014","09","ghi","209334"
"2009","09","dni","218735"
"2016","06","ghi","150436"
"2017","08","dni","259789"
"2018","06","ghi","158870"
"2016","08","dni","192905"
"2013","06","dni","181874"
"2014","03","ghi","201822"
"2014","06","dni","221573"
"2013","11","ghi","184146"
"2011","03","dni","87533"
"2015","11","ghi","199221"
"2018","04","dni","246598"
"2016","11","ghi","221479"
"2014","11","ghi","194948"
"2015","06","ghi","151416"
"2009","11","dni","111934"
"2015","08","ghi","182553"
"2015","03","ghi","192937"
"2011","07","ghi","166165"
"2013","08","ghi","191140"
"2017","03","dni","193726"
"2010","05","ghi","139388"
"2015","11","dni","200392"
"2009","06","dni","222910"
"2013","09","dni","221979"
"2016","08","ghi","169364"
"2008","12","ghi","158606"
"2008","10","ghi","212594"
"2009","05","dni","198038"
"2015","04","ghi","185036"
"2011","09","dni","261693"
"2017","04","dni","210210"
"2015","12","dni","137863"
"2017","11","ghi","221904"
"2011","08","ghi","183940"
"2008","07","dni","234383"
"2009","10","dni","259132"
"2018","03","dni","239204"
"2017","07","dni","228308"
"2013","11","dni","143636"
"2013","03","ghi","180955"
"2014","11","dni","161895"
"2014","09","dni","260480"
"2017","07","ghi","165595"
"2016","11","dni","231404"
"2015","06","dni","206899"
"2010","12","dni","131379"
"2010","04","ghi","160378"
"2012","07","dni","205175"
"2016","03","ghi","161712"
"2014","08","ghi","192917"
"2017","03","ghi","196513"
"2017","02","dni","173360"
"2012","12","ghi","217348"
"2017","10","dni","250799"
"2015","10","ghi","210622"
"2013","02","ghi","167936"
"2015","02","ghi","187430"
"2015","01","ghi","175535"
"2017","01","dni","146962"
"2012","10","dni","251321"
"2014","06","ghi","155763"
"2016","09","dni","195939"
"2018","08","ghi","0"
"2011","02","ghi","144823"
"2011","10","ghi","212494"
"2011","01","ghi","174952"
"2017","10","ghi","226650"
"2008","03","dni","156016"
"2011","10","dni","216473"
"2011","01","dni","111487"
"2010","07","ghi","150882"
"2011","02","dni","85750"
"2008","06","dni","197380"
"2014","07","dni","215598"
"2010","08","dni","209462"
"2008","03","ghi","162439"
