year,month,radiationtype,radiation
2008,1,dni,218665
2008,2,dni,131686
2008,3,dni,136979
2008,4,dni,168859
2008,5,dni,239066
2008,6,dni,164871
2008,7,dni,225375
2008,8,dni,220379
2008,9,dni,228136
2008,10,dni,216256
2008,11,dni,276683
2008,12,dni,233945
2009,1,dni,239626
2009,2,dni,138304
2009,3,dni,232549
2009,4,dni,192053
2009,5,dni,183040
2009,6,dni,161575
2009,7,dni,204799
2009,8,dni,241611
2009,9,dni,259529
2009,10,dni,259006
2009,11,dni,135676
2009,12,dni,268592
2010,1,dni,211807
2010,2,dni,238214
2010,3,dni,223591
2010,4,dni,191951
2010,5,dni,214819
2010,6,dni,178374
2010,7,dni,154155
2010,8,dni,210190
2010,9,dni,223649
2010,10,dni,254124
2010,11,dni,265042
2010,12,dni,249470
2011,1,dni,153221
2011,2,dni,103655
2011,3,dni,159360
2011,4,dni,184796
2011,5,dni,160560
2011,6,dni,206692
2011,7,dni,177634
2011,8,dni,249214
2011,9,dni,270830
2011,10,dni,261166
2011,11,dni,268276
2011,12,dni,299395
2012,1,dni,137030
2012,2,dni,224222
2012,3,dni,144101
2012,4,dni,216537
2012,5,dni,213748
2012,6,dni,167016
2012,7,dni,184762
2012,8,dni,216160
2012,9,dni,226776
2012,10,dni,255790
2012,11,dni,266845
2012,12,dni,157153
2013,1,dni,188046
2013,2,dni,181887
2013,3,dni,243281
2013,4,dni,215946
2013,5,dni,156555
2013,6,dni,106586
2013,7,dni,223605
2013,8,dni,243865
2013,9,dni,264939
2013,10,dni,249882
2013,11,dni,266489
2013,12,dni,235688
2014,1,dni,224036
2014,2,dni,235526
2014,3,dni,245627
2014,4,dni,218999
2014,5,dni,170339
2014,6,dni,202483
2014,7,dni,212423
2014,8,dni,262657
2014,9,dni,265202
2014,10,dni,256234
2014,11,dni,226552
2014,12,dni,293733
2015,1,dni,236032
2015,2,dni,196258
2015,3,dni,175670
2015,4,dni,135585
2015,5,dni,130971
2015,6,dni,206026
2015,7,dni,173051
2015,8,dni,223154
2015,9,dni,265164
2015,10,dni,246579
2015,11,dni,256806
2015,12,dni,289925
2016,1,dni,183186
2016,2,dni,235163
2016,3,dni,203988
2016,4,dni,211325
2016,5,dni,162671
2016,6,dni,136410
2016,7,dni,168474
2016,8,dni,197386
2016,9,dni,219923
2016,10,dni,235551
2016,11,dni,291228
2016,12,dni,243565
2017,1,dni,191485
2017,2,dni,212545
2017,3,dni,221471
2017,4,dni,211440
2017,5,dni,225547
2017,6,dni,188947
2017,7,dni,209962
2017,8,dni,234778
2017,9,dni,257323
2017,10,dni,280551
2017,11,dni,305834
2017,12,dni,272814
2018,1,dni,231921
2018,2,dni,240535
2018,3,dni,254364
2018,4,dni,227109
2018,5,dni,215093
2018,6,dni,184514
2018,7,dni,226056
2018,8,dni,0
