year,month,radiationtype,radiation
2008,1,ghi,209669
2008,2,ghi,145958
2008,3,ghi,165297
2008,4,ghi,163995
2008,5,ghi,173730
2008,6,ghi,138355
2008,7,ghi,161868
2008,8,ghi,178395
2008,9,ghi,189982
2008,10,ghi,214284
2008,11,ghi,192857
2008,12,ghi,173447
2009,1,ghi,181547
2009,2,ghi,139277
2009,3,ghi,208648
2009,4,ghi,181417
2009,5,ghi,157442
2009,6,ghi,151690
2009,7,ghi,160967
2009,8,ghi,181498
2009,9,ghi,185712
2009,10,ghi,231077
2009,11,ghi,125470
2009,12,ghi,198381
2010,1,ghi,188688
2010,2,ghi,189216
2010,3,ghi,202339
2010,4,ghi,171095
2010,5,ghi,131642
2010,6,ghi,150873
2010,7,ghi,144423
2010,8,ghi,173409
2010,9,ghi,177954
2010,10,ghi,198330
2010,11,ghi,224072
2010,12,ghi,200238
2011,1,ghi,197509
2011,2,ghi,145087
2011,3,ghi,138670
2011,4,ghi,163290
2011,5,ghi,170958
2011,6,ghi,152345
2011,7,ghi,160387
2011,8,ghi,189878
2011,9,ghi,211382
2011,10,ghi,201018
2011,11,ghi,195197
2011,12,ghi,218414
2012,1,ghi,192454
2012,2,ghi,200819
2012,3,ghi,164245
2012,4,ghi,177867
2012,5,ghi,165596
2012,6,ghi,145961
2012,7,ghi,154543
2012,8,ghi,184298
2012,9,ghi,200156
2012,10,ghi,223165
2012,11,ghi,211267
2012,12,ghi,211770
2013,1,ghi,219676
2013,2,ghi,178036
2013,3,ghi,191175
2013,4,ghi,170692
2013,5,ghi,147887
2013,6,ghi,140248
2013,7,ghi,164483
2013,8,ghi,191150
2013,9,ghi,205831
2013,10,ghi,209853
2013,11,ghi,187186
2013,12,ghi,189884
2014,1,ghi,197559
2014,2,ghi,169801
2014,3,ghi,207483
2014,4,ghi,180292
2014,5,ghi,161404
2014,6,ghi,150391
2014,7,ghi,157566
2014,8,ghi,189683
2014,9,ghi,208138
2014,10,ghi,234928
2014,11,ghi,198293
2014,12,ghi,203644
2015,1,ghi,178276
2015,2,ghi,190270
2015,3,ghi,193076
2015,4,ghi,177165
2015,5,ghi,144730
2015,6,ghi,150083
2015,7,ghi,158521
2015,8,ghi,180401
2015,9,ghi,206265
2015,10,ghi,214735
2015,11,ghi,212482
2015,12,ghi,190080
2016,1,ghi,191400
2016,2,ghi,183135
2016,3,ghi,162134
2016,4,ghi,178143
2016,5,ghi,141084
2016,6,ghi,141429
2016,7,ghi,151612
2016,8,ghi,167655
2016,9,ghi,189748
2016,10,ghi,221030
2016,11,ghi,230158
2016,12,ghi,197605
2017,1,ghi,183661
2017,2,ghi,183495
2017,3,ghi,204155
2017,4,ghi,183152
2017,5,ghi,167013
2017,6,ghi,147640
2017,7,ghi,158015
2017,8,ghi,187320
2017,9,ghi,210872
2017,10,ghi,240566
2017,11,ghi,226972
2017,12,ghi,233530
2018,1,ghi,199304
2018,2,ghi,184725
2018,3,ghi,214242
2018,4,ghi,186740
2018,5,ghi,169119
2018,6,ghi,154803
2018,7,ghi,165196
2018,8,ghi,0
