year,month,radiationtype,radiation
2008,1,ghi,242733
2008,2,ghi,197725
2008,3,ghi,156278
2008,4,ghi,144170
2008,5,ghi,155935
2008,6,ghi,121484
2008,7,ghi,139513
2008,8,ghi,156556
2008,9,ghi,186353
2008,10,ghi,222090
2008,11,ghi,207653
2008,12,ghi,196840
2009,1,ghi,233659
2009,2,ghi,183252
2009,3,ghi,197125
2009,4,ghi,150843
2009,5,ghi,132517
2009,6,ghi,125644
2009,7,ghi,139633
2009,8,ghi,162048
2009,9,ghi,183097
2009,10,ghi,230982
2009,11,ghi,130575
2009,12,ghi,228933
2010,1,ghi,220770
2010,2,ghi,194176
2010,3,ghi,200865
2010,4,ghi,169400
2010,5,ghi,137209
2010,6,ghi,121458
2010,7,ghi,114121
2010,8,ghi,150969
2010,9,ghi,166437
2010,10,ghi,212863
2010,11,ghi,242731
2010,12,ghi,233856
2011,1,ghi,244461
2011,2,ghi,190242
2011,3,ghi,179952
2011,4,ghi,174073
2011,5,ghi,145079
2011,6,ghi,129763
2011,7,ghi,136608
2011,8,ghi,170546
2011,9,ghi,199754
2011,10,ghi,200475
2011,11,ghi,223077
2011,12,ghi,240709
2012,1,ghi,220694
2012,2,ghi,205306
2012,3,ghi,183945
2012,4,ghi,164991
2012,5,ghi,149425
2012,6,ghi,119026
2012,7,ghi,134569
2012,8,ghi,165121
2012,9,ghi,185091
2012,10,ghi,221813
2012,11,ghi,204392
2012,12,ghi,199612
2013,1,ghi,230535
2013,2,ghi,176401
2013,3,ghi,183908
2013,4,ghi,175254
2013,5,ghi,125636
2013,6,ghi,92143
2013,7,ghi,145743
2013,8,ghi,171798
2013,9,ghi,199718
2013,10,ghi,224241
2013,11,ghi,213419
2013,12,ghi,213115
2014,1,ghi,223665
2014,2,ghi,193912
2014,3,ghi,208440
2014,4,ghi,168991
2014,5,ghi,141845
2014,6,ghi,133662
2014,7,ghi,137264
2014,8,ghi,174790
2014,9,ghi,196022
2014,10,ghi,227414
2014,11,ghi,188604
2014,12,ghi,235442
2015,1,ghi,206295
2015,2,ghi,201284
2015,3,ghi,183375
2015,4,ghi,150603
2015,5,ghi,113273
2015,6,ghi,134018
2015,7,ghi,134423
2015,8,ghi,161275
2015,9,ghi,198710
2015,10,ghi,226158
2015,11,ghi,229206
2015,12,ghi,226543
2016,1,ghi,185923
2016,2,ghi,200467
2016,3,ghi,167359
2016,4,ghi,166141
2016,5,ghi,118476
2016,6,ghi,115861
2016,7,ghi,129829
2016,8,ghi,150932
2016,9,ghi,177273
2016,10,ghi,211582
2016,11,ghi,234558
2016,12,ghi,212660
2017,1,ghi,221028
2017,2,ghi,213415
2017,3,ghi,201572
2017,4,ghi,167183
2017,5,ghi,154527
2017,6,ghi,127765
2017,7,ghi,142250
2017,8,ghi,172328
2017,9,ghi,191508
2017,10,ghi,226740
2017,11,ghi,233921
2017,12,ghi,248241
2018,1,ghi,247660
2018,2,ghi,201195
2018,3,ghi,206591
2018,4,ghi,175612
2018,5,ghi,150549
2018,6,ghi,127384
2018,7,ghi,143069
2018,8,ghi,0
