ts,radiation
2008-01-31,138339
2008-02-29,58925
2008-03-31,162291
2008-04-30,208528
2008-05-31,237518
2008-06-30,201977
2008-07-31,217116
2008-08-31,210945
2008-09-30,206599
2008-10-31,218550
2008-11-30,142267
2008-12-31,105496
2009-01-31,103530
2009-02-28,76720
2009-03-31,251274
2009-04-30,203593
2009-05-31,174028
2009-06-30,221986
2009-07-31,231220
2009-08-31,232201
2009-09-30,188521
2009-10-31,226202
2009-11-30,102828
2009-12-31,155602
2010-01-31,95836
2010-02-28,150279
2010-03-31,186119
2010-04-30,154352
2010-05-31,153152
2010-06-30,222726
2010-07-31,184772
2010-08-31,206495
2010-09-30,156896
2010-10-31,141515
2010-11-30,211151
2010-12-31,124473
2011-01-31,110166
2011-02-28,96811
2011-03-31,85596
2011-04-30,188376
2011-05-31,247285
2011-06-30,234696
2011-07-31,224131
2011-08-31,230290
2011-09-30,239447
2011-10-31,211968
2011-11-30,152083
2011-12-31,125510
2012-01-31,171664
2012-02-29,205132
2012-03-31,116311
2012-04-30,200170
2012-05-31,184112
2012-06-30,195601
2012-07-31,194825
2012-08-31,210729
2012-09-30,220910
2012-10-31,216696
2012-11-30,178286
2012-12-31,208998
2013-01-31,223314
2013-02-28,164351
2013-03-31,146019
2013-04-30,217374
2013-05-31,186606
2013-06-30,188404
2013-07-31,208952
2013-08-31,240543
2013-09-30,198428
2013-10-31,173878
2013-11-30,145777
2013-12-31,174515
2014-01-31,148936
2014-02-28,109326
2014-03-31,221524
2014-04-30,162047
2014-05-31,209724
2014-06-30,211625
2014-07-31,221969
2014-08-31,245789
2014-09-30,246464
2014-10-31,262821
2014-11-30,172980
2014-12-31,167359
2015-01-31,122273
2015-02-28,174843
2015-03-31,212873
2015-04-30,230696
2015-05-31,198226
2015-06-30,209168
2015-07-31,215706
2015-08-31,223204
2015-09-30,226147
2015-10-31,211832
2015-11-30,195808
2015-12-31,107483
2016-01-31,197770
2016-02-29,184219
2016-03-31,156417
2016-04-30,202759
2016-05-31,173984
2016-06-30,182986
2016-07-31,200941
2016-08-31,196841
2016-09-30,157124
2016-10-31,241490
2016-11-30,237406
2016-12-31,215050
2017-01-31,178704
2017-02-28,171226
2017-03-31,220668
2017-04-30,213960
2017-05-31,224999
2017-06-30,207207
2017-07-31,215699
2017-08-31,245553
2017-09-30,240188
2017-10-31,244899
2017-11-30,230256
2017-12-31,274083
2018-01-31,170300
2018-02-28,180093
2018-03-31,239977
2018-04-30,242157
2018-05-31,237266
2018-06-30,213975
2018-07-31,225925
