ts,radiation
2008-01-31,98392
2008-02-29,57103
2008-03-31,156059
2008-04-30,178298
2008-05-31,187730
2008-06-30,140300
2008-07-31,156200
2008-08-31,172567
2008-09-30,180306
2008-10-31,214961
2008-11-30,175063
2008-12-31,143700
2009-01-31,58635
2009-02-28,69387
2009-03-31,212041
2009-04-30,168180
2009-05-31,137353
2009-06-30,175672
2009-07-31,197932
2009-08-31,214559
2009-09-30,205033
2009-10-31,213550
2009-11-30,125062
2009-12-31,175168
2010-01-31,64084
2010-02-28,133857
2010-03-31,155286
2010-04-30,90302
2010-05-31,170923
2010-06-30,169876
2010-07-31,101911
2010-08-31,153757
2010-09-30,170234
2010-10-31,151215
2010-11-30,105008
2010-12-31,144181
2011-01-31,149967
2011-02-28,127118
2011-03-31,134777
2011-04-30,157014
2011-05-31,192433
2011-06-30,201571
2011-07-31,202464
2011-08-31,181805
2011-09-30,217531
2011-10-31,214726
2011-11-30,183671
2011-12-31,98201
2012-01-31,189226
2012-02-29,134985
2012-03-31,87959
2012-04-30,160168
2012-05-31,136909
2012-06-30,178851
2012-07-31,142228
2012-08-31,176693
2012-09-30,190794
2012-10-31,200523
2012-11-30,237150
2012-12-31,230911
2013-01-31,126749
2013-02-28,175427
2013-03-31,124437
2013-04-30,165103
2013-05-31,133171
2013-06-30,153336
2013-07-31,135772
2013-08-31,216868
2013-09-30,213241
2013-10-31,239742
2013-11-30,132067
2013-12-31,243740
2014-01-31,131173
2014-02-28,88526
2014-03-31,132171
2014-04-30,152950
2014-05-31,160448
2014-06-30,117170
2014-07-31,187238
2014-08-31,177188
2014-09-30,231379
2014-10-31,259517
2014-11-30,220649
2014-12-31,146589
2015-01-31,124197
2015-02-28,129344
2015-03-31,157219
2015-04-30,177099
2015-05-31,164646
2015-06-30,115140
2015-07-31,179769
2015-08-31,203783
2015-09-30,163446
2015-10-31,200287
2015-11-30,192963
2015-12-31,116825
2016-01-31,171334
2016-02-29,155749
2016-03-31,135631
2016-04-30,153161
2016-05-31,133994
2016-06-30,125688
2016-07-31,149593
2016-08-31,158780
2016-09-30,158220
2016-10-31,231300
2016-11-30,242377
2016-12-31,202718
2017-01-31,184827
2017-02-28,127482
2017-03-31,210485
2017-04-30,202863
2017-05-31,178365
2017-06-30,146070
2017-07-31,167457
2017-08-31,215781
2017-09-30,226625
2017-10-31,244176
2017-11-30,233071
2017-12-31,304126
2018-01-31,171510
2018-02-28,195385
2018-03-31,145819
2018-04-30,221878
2018-05-31,181568
2018-06-30,159560
2018-07-31,184977
