ts,radiation
2008-01-31,188808
2008-02-29,69838
2008-03-31,161548
2008-04-30,219322
2008-05-31,248859
2008-06-30,195577
2008-07-31,248373
2008-08-31,236647
2008-09-30,212916
2008-10-31,225368
2008-11-30,166610
2008-12-31,120088
2009-01-31,126903
2009-02-28,96275
2009-03-31,239001
2009-04-30,222159
2009-05-31,204167
2009-06-30,226266
2009-07-31,232613
2009-08-31,238994
2009-09-30,202490
2009-10-31,270203
2009-11-30,129477
2009-12-31,175657
2010-01-31,140092
2010-02-28,177362
2010-03-31,218332
2010-04-30,182667
2010-05-31,136025
2010-06-30,219614
2010-07-31,176132
2010-08-31,214992
2010-09-30,172826
2010-10-31,193996
2010-11-30,239461
2010-12-31,171748
2011-01-31,157953
2011-02-28,91344
2011-03-31,77627
2011-04-30,192174
2011-05-31,235987
2011-06-30,224954
2011-07-31,219636
2011-08-31,263313
2011-09-30,268582
2011-10-31,190432
2011-11-30,177716
2011-12-31,198701
2012-01-31,157160
2012-02-29,192832
2012-03-31,123918
2012-04-30,210654
2012-05-31,215081
2012-06-30,193062
2012-07-31,197920
2012-08-31,235087
2012-09-30,236826
2012-10-31,239045
2012-11-30,204009
2012-12-31,203564
2013-01-31,210919
2013-02-28,150722
2013-03-31,188162
2013-04-30,201093
2013-05-31,170035
2013-06-30,180661
2013-07-31,235567
2013-08-31,265276
2013-09-30,252242
2013-10-31,209571
2013-11-30,153830
2013-12-31,148544
2014-01-31,171357
2014-02-28,138164
2014-03-31,226373
2014-04-30,208183
2014-05-31,201160
2014-06-30,215683
2014-07-31,216532
2014-08-31,262495
2014-09-30,261055
2014-10-31,273997
2014-11-30,166683
2014-12-31,173516
2015-01-31,125359
2015-02-28,180527
2015-03-31,198212
2015-04-30,212025
2015-05-31,210006
2015-06-30,211523
2015-07-31,223409
2015-08-31,236594
2015-09-30,264954
2015-10-31,218643
2015-11-30,228992
2015-12-31,151486
2016-01-31,167075
2016-02-29,176316
2016-03-31,150938
2016-04-30,216178
2016-05-31,153720
2016-06-30,183485
2016-07-31,199618
2016-08-31,197698
2016-09-30,201359
2016-10-31,238367
2016-11-30,253594
2016-12-31,172648
2017-01-31,139018
2017-02-28,173022
2017-03-31,213918
2017-04-30,219929
2017-05-31,221450
2017-06-30,200896
2017-07-31,213748
2017-08-31,251270
2017-09-30,264830
2017-10-31,292629
2017-11-30,253174
2017-12-31,250395
2018-01-31,185128
2018-02-28,172243
2018-03-31,234446
2018-04-30,231841
2018-05-31,229632
2018-06-30,227935
2018-07-31,239862
