ts,radiation
2008-01-31,169946
2008-02-29,148087
2008-03-31,173069
2008-04-30,204333
2008-05-31,216793
2008-06-30,173939
2008-07-31,200404
2008-08-31,232812
2008-09-30,205705
2008-10-31,259283
2008-11-30,195035
2008-12-31,225868
2009-01-31,57828
2009-02-28,134963
2009-03-31,248868
2009-04-30,190146
2009-05-31,163103
2009-06-30,218631
2009-07-31,230779
2009-08-31,232710
2009-09-30,230789
2009-10-31,276357
2009-11-30,156040
2009-12-31,208862
2010-01-31,158904
2010-02-28,153100
2010-03-31,171680
2010-04-30,151254
2010-05-31,188209
2010-06-30,212612
2010-07-31,172531
2010-08-31,224935
2010-09-30,166206
2010-10-31,203985
2010-11-30,169041
2010-12-31,150171
2011-01-31,230319
2011-02-28,170377
2011-03-31,130923
2011-04-30,216199
2011-05-31,248656
2011-06-30,209922
2011-07-31,232883
2011-08-31,236370
2011-09-30,257269
2011-10-31,243387
2011-11-30,156570
2011-12-31,193497
2012-01-31,198444
2012-02-29,210597
2012-03-31,142319
2012-04-30,211694
2012-05-31,174458
2012-06-30,178502
2012-07-31,186062
2012-08-31,214760
2012-09-30,209661
2012-10-31,258803
2012-11-30,236616
2012-12-31,208227
2013-01-31,242711
2013-02-28,171611
2013-03-31,210090
2013-04-30,215641
2013-05-31,188358
2013-06-30,199473
2013-07-31,215516
2013-08-31,260439
2013-09-30,252080
2013-10-31,268604
2013-11-30,181148
2013-12-31,248384
2014-01-31,205208
2014-02-28,119961
2014-03-31,229793
2014-04-30,203678
2014-05-31,214446
2014-06-30,199706
2014-07-31,230693
2014-08-31,252150
2014-09-30,259165
2014-10-31,284096
2014-11-30,222146
2014-12-31,190767
2015-01-31,180059
2015-02-28,231330
2015-03-31,216345
2015-04-30,234558
2015-05-31,203464
2015-06-30,188523
2015-07-31,226366
2015-08-31,248410
2015-09-30,245445
2015-10-31,271745
2015-11-30,247139
2015-12-31,134858
2016-01-31,227964
2016-02-29,202999
2016-03-31,168806
2016-04-30,227480
2016-05-31,171844
2016-06-30,177857
2016-07-31,169567
2016-08-31,216808
2016-09-30,186838
2016-10-31,247820
2016-11-30,272800
2016-12-31,251571
2017-01-31,255626
2017-02-28,213150
2017-03-31,258503
2017-04-30,249848
2017-05-31,219502
2017-06-30,204444
2017-07-31,219854
2017-08-31,249775
2017-09-30,255703
2017-10-31,255233
2017-11-30,239882
2017-12-31,302123
2018-01-31,209079
2018-02-28,242272
2018-03-31,175081
2018-04-30,255598
2018-05-31,222331
2018-06-30,198831
2018-07-31,217494
