ts,radiation
2008-01-31,267976
2008-02-29,189477
2008-03-31,163544
2008-04-30,192812
2008-05-31,246274
2008-06-30,188501
2008-07-31,222436
2008-08-31,210290
2008-09-30,224847
2008-10-31,253331
2008-11-30,196690
2008-12-31,165360
2009-01-31,262441
2009-02-28,192697
2009-03-31,229413
2009-04-30,176240
2009-05-31,186788
2009-06-30,195780
2009-07-31,210747
2009-08-31,215684
2009-09-30,220445
2009-10-31,280213
2009-11-30,140712
2009-12-31,236163
2010-01-31,215104
2010-02-28,200419
2010-03-31,231708
2010-04-30,212765
2010-05-31,192495
2010-06-30,180587
2010-07-31,136742
2010-08-31,193568
2010-09-30,184233
2010-10-31,240736
2010-11-30,283144
2010-12-31,237303
2011-01-31,271287
2011-02-28,183569
2011-03-31,181550
2011-04-30,231675
2011-05-31,206356
2011-06-30,209166
2011-07-31,204748
2011-08-31,245093
2011-09-30,265095
2011-10-31,216706
2011-11-30,233972
2011-12-31,257383
2012-01-31,210190
2012-02-29,225280
2012-03-31,192081
2012-04-30,207275
2012-05-31,215036
2012-06-30,157806
2012-07-31,180220
2012-08-31,214045
2012-09-30,218213
2012-10-31,248031
2012-11-30,198315
2012-12-31,164976
2013-01-31,239891
2013-02-28,163060
2013-03-31,186139
2013-04-30,231442
2013-05-31,156115
2013-06-30,105807
2013-07-31,226872
2013-08-31,245479
2013-09-30,259368
2013-10-31,261016
2013-11-30,214086
2013-12-31,185269
2014-01-31,233825
2014-02-28,199957
2014-03-31,253054
2014-04-30,217525
2014-05-31,187350
2014-06-30,217584
2014-07-31,205153
2014-08-31,257545
2014-09-30,254450
2014-10-31,262248
2014-11-30,157346
2014-12-31,243883
2015-01-31,193674
2015-02-28,224404
2015-03-31,192494
2015-04-30,173141
2015-05-31,154021
2015-06-30,215019
2015-07-31,195575
2015-08-31,220408
2015-09-30,270330
2015-10-31,264266
2015-11-30,263491
2015-12-31,239763
2016-01-31,153978
2016-02-29,234170
2016-03-31,180236
2016-04-30,216285
2016-05-31,136872
2016-06-30,147793
2016-07-31,169531
2016-08-31,192057
2016-09-30,194545
2016-10-31,226524
2016-11-30,263102
2016-12-31,214665
2017-01-31,216569
2017-02-28,243484
2017-03-31,229898
2017-04-30,217212
2017-05-31,232846
2017-06-30,186924
2017-07-31,210347
2017-08-31,247482
2017-09-30,236866
2017-10-31,265639
2017-11-30,264059
2017-12-31,273231
2018-01-31,285375
2018-02-28,211906
2018-03-31,241279
2018-04-30,234627
2018-05-31,218303
2018-06-30,183676
2018-07-31,212105
