ts,radiation
2008-01-31,70083
2008-02-29,50121
2008-03-31,127300
2008-04-30,174273
2008-05-31,196931
2008-06-30,120547
2008-07-31,130839
2008-08-31,144772
2008-09-30,190102
2008-10-31,190443
2008-11-30,178057
2008-12-31,112037
2009-01-31,50180
2009-02-28,49350
2009-03-31,182993
2009-04-30,170879
2009-05-31,129781
2009-06-30,180336
2009-07-31,174978
2009-08-31,213456
2009-09-30,194216
2009-10-31,229968
2009-11-30,111886
2009-12-31,171016
2010-01-31,41869
2010-02-28,92925
2010-03-31,127516
2010-04-30,89016
2010-05-31,181991
2010-06-30,123889
2010-07-31,76680
2010-08-31,124061
2010-09-30,140946
2010-10-31,144170
2010-11-30,124610
2010-12-31,128032
2011-01-31,100038
2011-02-28,83242
2011-03-31,85371
2011-04-30,132964
2011-05-31,192868
2011-06-30,184494
2011-07-31,178196
2011-08-31,193963
2011-09-30,175201
2011-10-31,183866
2011-11-30,207160
2011-12-31,82586
2012-01-31,150179
2012-02-29,93990
2012-03-31,73388
2012-04-30,152232
2012-05-31,132871
2012-06-30,151576
2012-07-31,132762
2012-08-31,190660
2012-09-30,212188
2012-10-31,187758
2012-11-30,246207
2012-12-31,251026
2013-01-31,126564
2013-02-28,146212
2013-03-31,110940
2013-04-30,166749
2013-05-31,123847
2013-06-30,128408
2013-07-31,144007
2013-08-31,237082
2013-09-30,207377
2013-10-31,216114
2013-11-30,98087
2013-12-31,227564
2014-01-31,103924
2014-02-28,68405
2014-03-31,138529
2014-04-30,130966
2014-05-31,172027
2014-06-30,117842
2014-07-31,177636
2014-08-31,171514
2014-09-30,238348
2014-10-31,251425
2014-11-30,229933
2014-12-31,178522
2015-01-31,98205
2015-02-28,108232
2015-03-31,143550
2015-04-30,163370
2015-05-31,157981
2015-06-30,142159
2015-07-31,183036
2015-08-31,210164
2015-09-30,233248
2015-10-31,231253
2015-11-30,188906
2015-12-31,138012
2016-01-31,181824
2016-02-29,134144
2016-03-31,120140
2016-04-30,144227
2016-05-31,112907
2016-06-30,115144
2016-07-31,121641
2016-08-31,174668
2016-09-30,155168
2016-10-31,235972
2016-11-30,265701
2016-12-31,218051
2017-01-31,127524
2017-02-28,137162
2017-03-31,185343
2017-04-30,167253
2017-05-31,182633
2017-06-30,154774
2017-07-31,110138
2017-08-31,189632
2017-09-30,205391
2017-10-31,193360
2017-11-30,253547
2017-12-31,280931
2018-01-31,145064
2018-02-28,160309
2018-03-31,132518
2018-04-30,217101
2018-05-31,170547
2018-06-30,160687
2018-07-31,170138
