"year","month","radiationtype","radiation"
"2008","03","dni","163544"
"2011","02","dni","183569"
"2017","10","ghi","226740"
"2011","10","dni","216706"
"2011","01","dni","271287"
"2010","07","ghi","114121"
"2012","10","dni","248031"
"2010","08","ghi","150969"
"2010","11","dni","283144"
"2010","09","dni","184233"
"2008","06","ghi","121484"
"2015","07","dni","195575"
"2009","01","dni","262441"
"2016","02","ghi","200467"
"2018","01","ghi","247660"
"2016","10","ghi","211582"
"2011","12","ghi","240709"
"2012","05","ghi","149425"
"2016","01","ghi","185923"
"2014","02","ghi","193912"
"2013","10","ghi","224241"
"2009","02","dni","192697"
"2018","02","ghi","201195"
"2014","01","ghi","223665"
"2013","01","ghi","230535"
"2010","07","dni","136742"
"2010","03","ghi","200865"
"2018","07","dni","212105"
"2008","11","dni","196690"
"2010","06","dni","180587"
"2008","09","dni","224847"
"2012","02","ghi","205306"
"2008","08","ghi","156556"
"2013","07","dni","226872"
"2012","01","ghi","220694"
"2016","07","dni","169531"
"2012","10","ghi","221813"
"2014","08","dni","257545"
"2010","09","ghi","166437"
"2016","03","dni","180236"
"2014","10","dni","262248"
"2009","12","ghi","228933"
"2012","05","dni","215036"
"2014","02","dni","199957"
"2013","03","dni","186139"
"2008","05","dni","246274"
"2008","12","dni","165360"
"2015","03","dni","192494"
"2009","07","ghi","139633"
"2018","08","dni","0"
"2017","05","ghi","154527"
"2011","12","dni","257383"
"2014","01","dni","233825"
"2011","04","ghi","174073"
"2011","08","dni","245093"
"2009","06","ghi","125644"
"2013","09","ghi","199718"
"2018","05","dni","218303"
"2015","09","ghi","198710"
"2008","01","dni","267976"
"2016","09","ghi","177273"
"2008","10","dni","253331"
"2008","02","dni","189477"
"2012","08","dni","214045"
"2014","05","dni","187350"
"2017","08","ghi","172328"
"2017","09","dni","236866"
"2017","11","dni","264059"
"2011","06","dni","209166"
"2012","04","ghi","164991"
"2018","01","dni","285375"
"2016","02","dni","234170"
"2016","10","dni","226524"
"2013","10","dni","261016"
"2018","02","dni","211906"
"2016","01","dni","153978"
"2012","12","dni","164976"
"2013","02","dni","163060"
"2017","12","ghi","248241"
"2013","01","dni","239891"
"2015","10","dni","264266"
"2013","05","ghi","125636"
"2012","08","ghi","165121"
"2018","05","ghi","150549"
"2009","04","ghi","150843"
"2008","02","ghi","197725"
"2016","05","ghi","118476"
"2009","12","dni","236163"
"2010","10","ghi","212863"
"2014","12","ghi","235442"
"2008","01","ghi","242733"
"2017","09","ghi","191508"
"2012","09","dni","218213"
"2011","06","ghi","129763"
"2016","08","dni","192057"
"2014","03","ghi","208440"
"2014","06","dni","217584"
"2018","06","dni","183676"
"2013","06","dni","105807"
"2010","05","dni","192495"
"2011","07","dni","204748"
"2015","08","dni","220408"
"2013","08","dni","245479"
"2009","03","dni","229413"
"2008","04","ghi","144170"
"2016","06","dni","147793"
"2016","08","ghi","150932"
"2013","09","dni","259368"
"2008","12","ghi","196840"
"2016","09","dni","194545"
"2014","06","ghi","133662"
"2018","08","ghi","0"
"2010","05","ghi","137209"
"2017","03","dni","229898"
"2009","06","dni","195780"
"2011","07","ghi","136608"
"2015","03","ghi","183375"
"2013","08","ghi","171798"
"2015","11","dni","263491"
"2018","07","ghi","143069"
"2014","07","ghi","137264"
"2010","06","ghi","121458"
"2008","04","dni","192812"
"2008","11","ghi","207653"
"2013","07","ghi","145743"
"2016","07","ghi","129829"
"2009","07","dni","210747"
"2017","02","dni","243484"
"2012","12","ghi","199612"
"2008","07","ghi","139513"
"2009","10","ghi","230982"
"2009","01","ghi","233659"
"2009","02","ghi","183252"
"2009","09","ghi","183097"
"2015","05","dni","154021"
"2012","06","dni","157806"
"2013","05","dni","156115"
"2016","05","dni","136872"
"2010","10","dni","240736"
"2014","12","dni","243883"
"2010","02","dni","200419"
"2017","06","ghi","127765"
"2016","12","dni","214665"
"2014","04","ghi","168991"
"2011","09","dni","265095"
"2015","04","ghi","150603"
"2009","05","dni","186788"
"2008","10","ghi","222090"
"2018","04","ghi","175612"
"2011","11","dni","233972"
"2016","04","ghi","166141"
"2009","11","ghi","130575"
"2013","04","ghi","175254"
"2013","12","dni","185269"
"2011","03","ghi","179952"
"2009","04","dni","176240"
"2010","01","dni","215104"
"2015","01","ghi","206295"
"2017","01","dni","216569"
"2015","02","ghi","201284"
"2017","10","dni","265639"
"2015","10","ghi","226158"
"2013","02","ghi","176401"
"2017","04","dni","217212"
"2012","03","ghi","183945"
"2011","08","ghi","170546"
"2014","05","ghi","141845"
"2015","12","dni","239763"
"2012","11","dni","198315"
"2017","11","ghi","233921"
"2009","09","dni","220445"
"2014","09","ghi","196022"
"2017","03","ghi","201572"
"2017","06","dni","186924"
"2013","11","ghi","213419"
"2009","08","ghi","162048"
"2018","04","dni","234627"
"2012","03","dni","192081"
"2016","04","dni","216285"
"2013","04","dni","231442"
"2015","04","dni","173141"
"2011","03","dni","181550"
"2015","11","ghi","229206"
"2016","11","ghi","234558"
"2010","04","dni","212765"
"2015","07","ghi","134423"
"2008","09","ghi","186353"
"2018","03","dni","241279"
"2010","11","ghi","242731"
"2014","03","dni","253054"
"2017","07","dni","210347"
"2009","08","dni","215684"
"2018","03","ghi","206591"
"2008","05","ghi","155935"
"2013","11","dni","214086"
"2010","04","ghi","169400"
"2014","08","ghi","174790"
"2014","09","dni","254450"
"2013","03","ghi","183908"
"2014","11","dni","157346"
"2010","12","dni","237303"
"2012","07","dni","180220"
"2016","03","ghi","167359"
"2015","06","dni","215019"
"2017","07","ghi","142250"
"2016","11","dni","263102"
"2008","08","dni","210290"
