"year","month","radiationtype","radiation"
"2010","03","dni","117746"
"2012","02","dni","175212"
"2017","02","ghi","205865"
"2013","05","ghi","129306"
"2017","09","ghi","193836"
"2009","12","dni","221786"
"2014","12","ghi","230258"
"2011","06","ghi","121886"
"2016","05","ghi","136388"
"2013","10","dni","229677"
"2016","01","dni","193384"
"2018","01","dni","213412"
"2016","10","dni","236581"
"2012","04","ghi","161020"
"2016","02","dni","153667"
"2012","12","dni","251208"
"2018","02","dni","194674"
"2013","02","dni","123484"
"2009","04","ghi","142115"
"2008","02","ghi","146725"
"2018","05","ghi","146421"
"2012","08","ghi","158104"
"2014","06","ghi","110060"
"2016","09","dni","143077"
"2018","08","ghi","0"
"2010","05","ghi","139336"
"2015","11","dni","196913"
"2013","08","ghi","168808"
"2017","03","dni","161214"
"2015","03","ghi","185471"
"2011","07","ghi","141932"
"2009","06","dni","189095"
"2012","10","ghi","205164"
"2013","07","dni","141016"
"2008","09","dni","189887"
"2010","03","ghi","160539"
"2010","06","dni","155935"
"2008","11","dni","196265"
"2012","02","ghi","183170"
"2018","07","dni","195383"
"2017","09","dni","231176"
"2017","11","dni","223214"
"2017","08","ghi","167304"
"2012","08","dni","181313"
"2008","08","dni","183685"
"2017","01","ghi","209430"
"2014","05","dni","166430"
"2011","06","dni","165055"
"2012","01","dni","175778"
"2016","09","ghi","160951"
"2011","08","dni","157661"
"2008","02","dni","111003"
"2008","10","dni","176595"
"2013","09","ghi","192264"
"2015","09","ghi","186491"
"2008","01","dni","135178"
"2009","06","ghi","131032"
"2018","05","dni","190580"
"2011","01","dni","200189"
"2010","07","ghi","124895"
"2011","10","dni","184194"
"2012","10","dni","194011"
"2011","02","dni","157028"
"2017","10","ghi","203997"
"2008","03","dni","95665"
"2017","05","ghi","130281"
"2011","12","dni","135838"
"2011","04","ghi","150849"
"2014","01","dni","188841"
"2014","02","dni","121375"
"2014","10","dni","239034"
"2012","05","dni","147871"
"2009","12","ghi","227639"
"2008","12","dni","220036"
"2009","07","ghi","142523"
"2015","03","dni","189515"
"2018","08","dni","0"
"2010","09","ghi","140439"
"2016","03","dni","134981"
"2014","08","dni","199373"
"2017","12","ghi","253250"
"2013","01","dni","210837"
"2010","12","ghi","139817"
"2012","07","ghi","110334"
"2014","04","dni","152090"
"2015","09","dni","215983"
"2015","10","dni","205445"
"2017","08","dni","207440"
"2016","06","ghi","114784"
"2018","06","ghi","127637"
"2015","08","ghi","162513"
"2015","06","ghi","112312"
"2014","11","ghi","225633"
"2009","11","dni","119348"
"2009","03","ghi","177672"
"2013","06","ghi","124096"
"2010","02","dni","87764"
"2015","05","dni","159551"
"2010","10","dni","151178"
"2016","12","dni","236271"
"2009","09","ghi","175764"
"2012","09","dni","195384"
"2010","10","ghi","181796"
"2008","01","ghi","174146"
"2013","09","dni","221300"
"2008","12","ghi","220575"
"2016","08","ghi","142550"
"2009","03","dni","198791"
"2010","05","dni","173687"
"2013","08","dni","218187"
"2008","04","ghi","140824"
"2008","08","ghi","150458"
"2016","07","dni","156800"
"2012","01","ghi","199005"
"2016","12","ghi","228954"
"2011","11","ghi","211552"
"2015","12","ghi","218659"
"2010","02","ghi","145708"
"2015","05","ghi","120623"
"2013","12","ghi","233444"
"2017","05","dni","154416"
"2015","02","dni","157741"
"2011","05","ghi","142885"
"2014","10","ghi","222249"
"2015","01","dni","157548"
"2008","05","dni","171758"
"2013","03","dni","151764"
"2010","01","dni","93364"
"2013","04","ghi","139044"
"2011","03","ghi","129605"
"2013","12","dni","240911"
"2011","11","dni","202232"
"2018","04","ghi","150404"
"2009","04","dni","161649"
"2009","11","ghi","116058"
"2016","04","ghi","144285"
"2013","05","dni","139188"
"2012","06","dni","131560"
"2014","04","ghi","148932"
"2017","06","ghi","119838"
"2014","12","dni","236426"
"2016","05","dni","162144"
"2014","07","ghi","141693"
"2010","06","ghi","122362"
"2008","04","dni","171073"
"2018","07","ghi","140715"
"2016","07","ghi","124157"
"2009","07","dni","206932"
"2008","11","ghi","202782"
"2013","07","ghi","126130"
"2015","08","dni","206110"
"2016","06","dni","147156"
"2011","07","dni","201557"
"2018","06","dni","176655"
