"year","month","radiationtype","radiation"
"2008","12","ghi","218654"
"2013","09","dni","229824"
"2016","08","ghi","149410"
"2012","02","ghi","194960"
"2018","07","dni","205981"
"2008","08","ghi","157184"
"2016","07","dni","153102"
"2012","01","ghi","208274"
"2008","09","dni","182687"
"2010","06","dni","178584"
"2010","03","ghi","176238"
"2008","11","dni","199419"
"2017","12","dni","296016"
"2011","09","ghi","194103"
"2009","05","ghi","126816"
"2009","01","ghi","137777"
"2009","02","ghi","133582"
"2017","03","ghi","183035"
"2008","07","dni","177958"
"2009","10","dni","249582"
"2013","03","dni","186560"
"2008","05","dni","203991"
"2008","12","dni","203833"
"2015","03","dni","221999"
"2009","07","ghi","145489"
"2018","08","dni","0"
"2014","10","ghi","229541"
"2015","01","dni","188431"
"2012","09","ghi","175133"
"2012","04","dni","198472"
"2011","05","dni","219251"
"2012","11","ghi","228242"
"2017","04","ghi","179821"
"2016","04","dni","187041"
"2015","04","dni","210674"
"2009","08","ghi","166120"
"2013","04","dni","157858"
"2012","03","dni","149547"
"2013","11","ghi","199587"
"2018","04","dni","197202"
"2016","11","ghi","225000"
"2011","03","dni","121043"
"2015","11","ghi","222089"
"2014","09","ghi","185717"
"2017","06","dni","186906"
"2009","09","dni","212724"
"2008","07","ghi","123645"
"2009","10","ghi","221307"
"2015","02","dni","207662"
"2011","05","ghi","151678"
