"year","month","radiationtype","radiation"
"2016","09","dni","186838"
"2014","06","ghi","138678"
"2018","08","ghi","0"
"2017","08","ghi","180232"
"2017","11","dni","239882"
"2017","09","dni","255703"
"2012","08","dni","214760"
"2015","11","dni","247139"
"2010","05","ghi","147156"
"2017","03","dni","258503"
"2013","08","ghi","181853"
"2015","03","ghi","197500"
"2011","07","ghi","154533"
"2018","07","dni","217494"
"2012","02","ghi","204751"
"2013","07","dni","215516"
"2012","10","ghi","226861"
"2008","09","dni","205705"
"2008","11","dni","195035"
"2010","03","ghi","181730"
"2010","06","dni","212612"
"2010","03","dni","171680"
"2008","08","dni","232812"
"2017","01","ghi","234153"
"2017","02","ghi","198707"
"2012","02","dni","210597"
"2015","08","ghi","176019"
"2015","06","ghi","135243"
"2009","11","dni","156040"
"2014","11","ghi","220472"
"2018","06","ghi","139377"
"2017","08","dni","249775"
"2016","06","ghi","131998"
"2016","09","ghi","176829"
"2011","08","dni","236370"
"2008","02","dni","148087"
"2008","10","dni","259283"
"2014","05","dni","214446"
"2011","06","dni","209922"
"2015","09","ghi","195381"
"2013","09","ghi","202738"
"2008","01","dni","169946"
"2009","06","ghi","142709"
"2018","05","dni","222331"
"2009","06","dni","218631"
"2008","12","ghi","220808"
"2013","09","dni","252080"
"2016","08","ghi","166514"
"2014","02","dni","119961"
"2012","05","dni","174458"
"2014","10","dni","284096"
"2009","12","ghi","220351"
"2015","09","dni","245445"
"2010","12","ghi","189581"
"2014","04","dni","203678"
"2012","07","ghi","142240"
"2008","12","dni","225868"
"2015","03","dni","216345"
"2009","07","ghi","152889"
"2018","08","dni","0"
"2014","08","dni","252150"
"2016","03","dni","168806"
"2010","09","ghi","169799"
"2013","03","dni","210090"
"2008","05","dni","216793"
"2009","03","ghi","207610"
"2013","06","ghi","138194"
"2016","07","dni","169567"
"2008","08","ghi","170558"
"2012","01","ghi","208228"
"2016","02","ghi","190852"
"2014","02","ghi","167277"
"2012","05","ghi","141742"
"2016","01","ghi","217271"
"2009","01","dni","57828"
"2013","10","ghi","231042"
"2009","02","dni","134963"
"2018","02","ghi","214467"
"2012","01","dni","198444"
"2011","10","dni","243387"
"2011","01","dni","230319"
"2010","07","ghi","138575"
"2014","12","ghi","217217"
"2017","09","ghi","203484"
"2016","05","ghi","141839"
"2009","12","dni","208862"
"2011","06","ghi","140714"
"2013","05","ghi","147834"
"2017","12","ghi","252911"
"2013","01","dni","242711"
"2015","10","dni","271745"
"2016","04","ghi","175914"
"2009","11","ghi","134706"
"2009","04","dni","190146"
"2014","04","ghi","172815"
"2012","06","dni","178502"
"2013","05","dni","188358"
"2014","12","dni","190767"
"2016","05","dni","171844"
"2017","06","ghi","140324"
"2010","10","dni","203985"
"2010","02","dni","153100"
"2015","05","dni","203464"
"2016","12","dni","251571"
"2009","09","ghi","190539"
"2011","04","ghi","171227"
"2014","01","dni","205208"
"2017","05","ghi","157957"
"2011","12","dni","193497"
"2010","07","dni","172531"
"2014","01","ghi","216904"
"2013","01","ghi","231657"
"2016","10","ghi","221381"
"2018","01","ghi","216263"
"2011","12","ghi","209324"
"2009","04","ghi","163249"
"2008","02","ghi","182899"
"2018","05","ghi","159350"
"2012","08","ghi","171294"
"2010","10","ghi","198304"
